ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
1,,Two Sum,45.6%,Easy,0.1532849790864647, https://leetcode.com/problems/two-sum
2,,Add Two Numbers,33.9%,Medium,0.1027036175869253, https://leetcode.com/problems/add-two-numbers
21,,Merge Two Sorted Lists,53.5%,Easy,0.0911091951116577, https://leetcode.com/problems/merge-two-sorted-lists
37,,Sudoku Solver,43.6%,Hard,0.0405278336121183, https://leetcode.com/problems/sudoku-solver
706,,Design HashMap,61.3%,Easy,0.0390166523424517, https://leetcode.com/problems/design-hashmap
15,,3Sum,26.8%,Medium,0.0346167609048592, https://leetcode.com/problems/3sum
3,,Longest Substring Without Repeating Characters,30.4%,Medium,0.0310393528719472, https://leetcode.com/problems/longest-substring-without-repeating-characters
368,,Largest Divisible Subset,38.0%,Medium,0.0303513434241384, https://leetcode.com/problems/largest-divisible-subset
219,,Contains Duplicate II,37.7%,Easy,0.0285009791675499, https://leetcode.com/problems/contains-duplicate-ii
115,,Distinct Subsequences,38.3%,Hard,0.0277988713627429, https://leetcode.com/problems/distinct-subsequences
343,,Integer Break,50.4%,Medium,0.0271571339689074, https://leetcode.com/problems/integer-break
22,,Generate Parentheses,62.7%,Medium,0.0269499979644966, https://leetcode.com/problems/generate-parentheses
202,,Happy Number,50.4%,Easy,0.0248344285633038, https://leetcode.com/problems/happy-number
206,,Reverse Linked List,62.5%,Easy,0.0208642746707607, https://leetcode.com/problems/reverse-linked-list
525,,Contiguous Array,42.8%,Medium,0.0197537287362325, https://leetcode.com/problems/contiguous-array
12,,Integer to Roman,55.1%,Medium,0.0190966974564563, https://leetcode.com/problems/integer-to-roman
993,,Cousins in Binary Tree,52.0%,Easy,0.0174144583686365, https://leetcode.com/problems/cousins-in-binary-tree
994,,Rotting Oranges,49.2%,Medium,0.0170879418971956, https://leetcode.com/problems/rotting-oranges
7,,Reverse Integer,25.8%,Easy,0.0166277906084889, https://leetcode.com/problems/reverse-integer
315,,Count of Smaller Numbers After Self,41.5%,Hard,0.0143525965749565, https://leetcode.com/problems/count-of-smaller-numbers-after-self
5,,Longest Palindromic Substring,29.5%,Medium,0.0141613332940249, https://leetcode.com/problems/longest-palindromic-substring
76,,Minimum Window Substring,34.6%,Hard,0.0139667074817081, https://leetcode.com/problems/minimum-window-substring
703,,Kth Largest Element in a Stream,49.7%,Easy,0.0138987643908149, https://leetcode.com/problems/kth-largest-element-in-a-stream
82,,Remove Duplicates from Sorted List II,36.8%,Medium,0.0129703504426274, https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii
137,,Single Number II,52.4%,Medium,0.0125275675326628, https://leetcode.com/problems/single-number-ii
11,,Container With Most Water,50.8%,Medium,0.0122148247464921, https://leetcode.com/problems/container-with-most-water
300,,Longest Increasing Subsequence,42.6%,Medium,0.011806512586989, https://leetcode.com/problems/longest-increasing-subsequence
987,,Vertical Order Traversal of a Binary Tree,36.6%,Medium,0.011601058182762, https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree
200,,Number of Islands,46.8%,Medium,0.0115092624205908, https://leetcode.com/problems/number-of-islands
55,,Jump Game,34.6%,Medium,0.0112656091942189, https://leetcode.com/problems/jump-game
236,,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.0105758917590581, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
25,,Reverse Nodes in k-Group,42.1%,Hard,0.0102119856050282, https://leetcode.com/problems/reverse-nodes-in-k-group
739,,Daily Temperatures,63.3%,Medium,0.0100326901218144, https://leetcode.com/problems/daily-temperatures
61,,Rotate List,30.0%,Medium,0.0099256397999699, https://leetcode.com/problems/rotate-list
18,,4Sum,33.7%,Medium,0.0098425991441941, https://leetcode.com/problems/4sum
113,,Path Sum II,46.7%,Medium,0.0097848138799982, https://leetcode.com/problems/path-sum-ii
