ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
736,,Parse Lisp Expression,47.5%,Hard,1.0065947176467498, https://leetcode.com/problems/parse-lisp-expression
381,,Insert Delete GetRandom O(1) - Duplicates allowed,34.1%,Hard,0.6946505634539769, https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed
695,,Max Area of Island,62.7%,Medium,0.5227168031344483, https://leetcode.com/problems/max-area-of-island
380,,Insert Delete GetRandom O(1),47.5%,Medium,0.2107726489416756, https://leetcode.com/problems/insert-delete-getrandom-o1
362,,Design Hit Counter,63.7%,Medium,0.1431008436406733, https://leetcode.com/problems/design-hit-counter
49,,Group Anagrams,56.9%,Medium,0.0871251620497741, https://leetcode.com/problems/group-anagrams
42,,Trapping Rain Water,48.9%,Hard,0.0802808312608028, https://leetcode.com/problems/trapping-rain-water
127,,Word Ladder,29.6%,Medium,0.0680440093314262, https://leetcode.com/problems/word-ladder
200,,Number of Islands,46.8%,Medium,0.0545589842504343, https://leetcode.com/problems/number-of-islands
1,,Two Sum,45.6%,Easy,0.0432701568348356, https://leetcode.com/problems/two-sum
322,,Coin Change,35.5%,Medium,0.0239039969476616, https://leetcode.com/problems/coin-change
230,,Kth Smallest Element in a BST,60.2%,Medium,0.0060855200738027, https://leetcode.com/problems/kth-smallest-element-in-a-bst
