ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
1095,,Find in Mountain Array,35.8%,Hard,0.5901861366220961, https://leetcode.com/problems/find-in-mountain-array
284,,Peeking Iterator,45.7%,Medium,0.540892616315496, https://leetcode.com/problems/peeking-iterator
1,,Two Sum,45.6%,Easy,0.5261466153527387, https://leetcode.com/problems/two-sum
391,,Perfect Rectangle,30.5%,Hard,0.4685000051418698, https://leetcode.com/problems/perfect-rectangle
428,,Serialize and Deserialize N-ary Tree,59.4%,Hard,0.410853394931001, https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree
146,,LRU Cache,33.2%,Medium,0.3532067847201322, https://leetcode.com/problems/lru-cache
1229,,Meeting Scheduler,52.7%,Medium,0.2955601745092634, https://leetcode.com/problems/meeting-scheduler
981,,Time Based Key-Value Store,53.1%,Medium,0.2435308223528776, https://leetcode.com/problems/time-based-key-value-store
295,,Find Median from Data Stream,44.3%,Hard,0.2417268690318467, https://leetcode.com/problems/find-median-from-data-stream
212,,Word Search II,34.9%,Hard,0.2210141524359544, https://leetcode.com/problems/word-search-ii
4,,Median of Two Sorted Arrays,29.6%,Hard,0.1751971108284659, https://leetcode.com/problems/median-of-two-sorted-arrays
341,,Flatten Nested List Iterator,52.9%,Medium,0.1668988292677293, https://leetcode.com/problems/flatten-nested-list-iterator
53,,Maximum Subarray,46.5%,Easy,0.1618841690171555, https://leetcode.com/problems/maximum-subarray
546,,Remove Boxes,42.7%,Hard,0.1436155116911486, https://leetcode.com/problems/remove-boxes
836,,Rectangle Overlap,48.6%,Easy,0.1426102266800165, https://leetcode.com/problems/rectangle-overlap
348,,Design Tic-Tac-Toe,54.3%,Medium,0.1425287846212726, https://leetcode.com/problems/design-tic-tac-toe
200,,Number of Islands,46.8%,Medium,0.1326085244296406, https://leetcode.com/problems/number-of-islands
49,,Group Anagrams,56.9%,Medium,0.1285763065181971, https://leetcode.com/problems/group-anagrams
2,,Add Two Numbers,33.9%,Medium,0.1282997153489117, https://leetcode.com/problems/add-two-numbers
329,,Longest Increasing Path in a Matrix,43.4%,Hard,0.1145926416581286, https://leetcode.com/problems/longest-increasing-path-in-a-matrix
311,,Sparse Matrix Multiplication,61.9%,Medium,0.10648348040245, https://leetcode.com/problems/sparse-matrix-multiplication
403,,Frog Jump,39.7%,Hard,0.0998958412956442, https://leetcode.com/problems/frog-jump
658,,Find K Closest Elements,40.9%,Medium,0.0995648587647672, https://leetcode.com/problems/find-k-closest-elements
609,,Find Duplicate File in System,59.5%,Medium,0.0989818335488509, https://leetcode.com/problems/find-duplicate-file-in-system
837,,New 21 Game,34.6%,Medium,0.0964602661875622, https://leetcode.com/problems/new-21-game
87,,Scramble String,33.7%,Hard,0.0933319397922191, https://leetcode.com/problems/scramble-string
139,,Word Break,40.1%,Medium,0.0930817517876703, https://leetcode.com/problems/word-break
36,,Valid Sudoku,48.7%,Medium,0.0854773897656843, https://leetcode.com/problems/valid-sudoku
42,,Trapping Rain Water,48.9%,Hard,0.0846104154520916, https://leetcode.com/problems/trapping-rain-water
688,,Knight Probability in Chessboard,48.9%,Medium,0.083926207699934, https://leetcode.com/problems/knight-probability-in-chessboard
909,,Snakes and Ladders,38.4%,Medium,0.083926207699934, https://leetcode.com/problems/snakes-and-ladders
636,,Exclusive Time of Functions,52.0%,Medium,0.0815530661604696, https://leetcode.com/problems/exclusive-time-of-functions
729,,My Calendar I,51.8%,Medium,0.0801854119192299, https://leetcode.com/problems/my-calendar-i
97,,Interleaving String,31.5%,Hard,0.0794857154172425, https://leetcode.com/problems/interleaving-string
128,,Longest Consecutive Sequence,45.1%,Hard,0.0786603197723907, https://leetcode.com/problems/longest-consecutive-sequence
269,,Alien Dictionary,33.3%,Hard,0.0770322180463687, https://leetcode.com/problems/alien-dictionary
351,,Android Unlock Patterns,48.4%,Medium,0.0719734996250892, https://leetcode.com/problems/android-unlock-patterns
632,,Smallest Range Covering Elements from K Lists,52.4%,Hard,0.0708260525686124, https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists
