ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
1,,Two Sum,45.60%,Easy,2.441653525, https://leetcode.com/problems/two-sum
146,Done,LRU Cache,33.20%,Medium,2.288507628, https://leetcode.com/problems/lru-cache
403,,Frog Jump,39.70%,Hard,2.13536173, https://leetcode.com/problems/frog-jump
54,Done,Spiral Matrix,34.10%,Medium,1.982215833, https://leetcode.com/problems/spiral-matrix
2,Done,Add Two Numbers,33.90%,Medium,1.937580609, https://leetcode.com/problems/add-two-numbers
284,,Peeking Iterator,45.70%,Medium,1.898847359, https://leetcode.com/problems/peeking-iterator
4,,Median of Two Sorted Arrays,29.60%,Hard,1.745701461, https://leetcode.com/problems/median-of-two-sorted-arrays
53,,Maximum Subarray,46.50%,Easy,1.603979237, https://leetcode.com/problems/maximum-subarray
341,,Flatten Nested List Iterator,52.90%,Medium,1.596120366, https://leetcode.com/problems/flatten-nested-list-iterator
42,,Trapping Rain Water,48.90%,Hard,1.450492772, https://leetcode.com/problems/trapping-rain-water
391,,Perfect Rectangle,30.50%,Hard,1.297346875, https://leetcode.com/problems/perfect-rectangle
206,,Reverse Linked List,62.50%,Easy,1.288954304, https://leetcode.com/problems/reverse-linked-list
295,,Find Median from Data Stream,44.30%,Hard,1.241562462, https://leetcode.com/problems/find-median-from-data-stream
200,,Number of Islands,46.80%,Medium,1.233667865, https://leetcode.com/problems/number-of-islands
5,,Longest Palindromic Substring,29.50%,Medium,1.20498205, https://leetcode.com/problems/longest-palindromic-substring
218,,The Skyline Problem,34.60%,Hard,1.202681649, https://leetcode.com/problems/the-skyline-problem
1095,,Find in Mountain Array,35.80%,Hard,1.201355903, https://leetcode.com/problems/find-in-mountain-array
97,,Interleaving String,31.50%,Hard,1.187919087, https://leetcode.com/problems/interleaving-string
479,,Largest Palindrome Product,29.00%,Hard,1.170071253, https://leetcode.com/problems/largest-palindrome-product
393,,UTF-8 Validation,37.50%,Medium,1.156069344, https://leetcode.com/problems/utf-8-validation
238,,Product of Array Except Self,60.10%,Medium,1.125997958, https://leetcode.com/problems/product-of-array-except-self
311,,Sparse Matrix Multiplication,61.90%,Medium,1.108395735, https://leetcode.com/problems/sparse-matrix-multiplication
8,,String to Integer (atoi),15.40%,Medium,1.072824273, https://leetcode.com/problems/string-to-integer-atoi
428,,Serialize and Deserialize N-ary Tree,59.40%,Hard,1.069717823, https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree
348,,Design Tic-Tac-Toe,54.30%,Medium,1.019148117, https://leetcode.com/problems/design-tic-tac-toe
56,,Merge Intervals,39.30%,Medium,1.015656624, https://leetcode.com/problems/merge-intervals
15,,3Sum,26.80%,Medium,1.002806664, https://leetcode.com/problems/3sum
202,,Happy Number,50.40%,Easy,0.997486077, https://leetcode.com/problems/happy-number
329,,Longest Increasing Path in a Matrix,43.40%,Hard,0.967887522, https://leetcode.com/problems/longest-increasing-path-in-a-matrix
