ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
366,,Find Leaves of Binary Tree,70.6%,Medium,0.5289140003341137, https://leetcode.com/problems/find-leaves-of-binary-tree
981,,Time Based Key-Value Store,53.1%,Medium,0.4016298254705197, https://leetcode.com/problems/time-based-key-value-store
860,,Lemonade Change,51.6%,Easy,0.3967602828188025, https://leetcode.com/problems/lemonade-change
1120,,Maximum Average Subtree,61.9%,Medium,0.2694761079552085, https://leetcode.com/problems/maximum-average-subtree
1071,,Greatest Common Divisor of Strings,52.9%,Easy,0.2558027661568673, https://leetcode.com/problems/greatest-common-divisor-of-strings
821,,Shortest Distance to a Character,66.9%,Easy,0.2432052795316472, https://leetcode.com/problems/shortest-distance-to-a-character
17,,Letter Combinations of a Phone Number,46.8%,Medium,0.2216645713198854, https://leetcode.com/problems/letter-combinations-of-a-phone-number
362,,Design Hit Counter,63.7%,Medium,0.2081212537924689, https://leetcode.com/problems/design-hit-counter
253,,Meeting Rooms II,45.7%,Medium,0.1220327637966893, https://leetcode.com/problems/meeting-rooms-ii
284,,Peeking Iterator,45.7%,Medium,0.1190109982701197, https://leetcode.com/problems/peeking-iterator
1223,,Dice Roll Simulation,45.6%,Medium,0.1021294950763798, https://leetcode.com/problems/dice-roll-simulation
300,,Longest Increasing Subsequence,42.6%,Medium,0.1015528004432644, https://leetcode.com/problems/longest-increasing-subsequence
23,,Merge k Sorted Lists,40.2%,Hard,0.0966655621235403, https://leetcode.com/problems/merge-k-sorted-lists
20,,Valid Parentheses,39.0%,Easy,0.0928626343812616, https://leetcode.com/problems/valid-parentheses
359,,Logger Rate Limiter,70.8%,Easy,0.0816780310142671, https://leetcode.com/problems/logger-rate-limiter
1366,,Rank Teams by Votes,53.8%,Medium,0.0722335573593715, https://leetcode.com/problems/rank-teams-by-votes
200,,Number of Islands,46.8%,Medium,0.0698510378599645, https://leetcode.com/problems/number-of-islands
706,,Design HashMap,61.3%,Easy,0.0683442674369718, https://leetcode.com/problems/design-hashmap
98,,Validate Binary Search Tree,27.8%,Medium,0.0579851815121325, https://leetcode.com/problems/validate-binary-search-tree
540,,Single Element in a Sorted Array,57.9%,Medium,0.0427212567047698, https://leetcode.com/problems/single-element-in-a-sorted-array
844,,Backspace String Compare,46.4%,Easy,0.0414997309067527, https://leetcode.com/problems/backspace-string-compare
31,,Next Permutation,32.6%,Medium,0.0368610211315989, https://leetcode.com/problems/next-permutation
394,,Decode String,50.0%,Medium,0.0322738781366899, https://leetcode.com/problems/decode-string
150,,Evaluate Reverse Polish Notation,36.3%,Medium,0.0315262536467739, https://leetcode.com/problems/evaluate-reverse-polish-notation
547,,Friend Circles,58.6%,Medium,0.0273075220528511, https://leetcode.com/problems/friend-circles
123,,Best Time to Buy and Sell Stock III,37.5%,Hard,0.025162076719508, https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii
713,,Subarray Product Less Than K,39.1%,Medium,0.0247384291561224, https://leetcode.com/problems/subarray-product-less-than-k
647,,Palindromic Substrings,60.6%,Medium,0.0232508536502028, https://leetcode.com/problems/palindromic-substrings
199,,Binary Tree Right Side View,54.1%,Medium,0.0225393398460615, https://leetcode.com/problems/binary-tree-right-side-view
101,,Symmetric Tree,46.8%,Easy,0.0210978289646358, https://leetcode.com/problems/symmetric-tree
341,,Flatten Nested List Iterator,52.9%,Medium,0.0199806846904834, https://leetcode.com/problems/flatten-nested-list-iterator
53,,Maximum Subarray,46.5%,Easy,0.019336728821707, https://leetcode.com/problems/maximum-subarray
173,,Binary Search Tree Iterator,56.6%,Medium,0.0189999382449039, https://leetcode.com/problems/binary-search-tree-iterator
872,,Leaf-Similar Trees,64.5%,Easy,0.0175212541871478, https://leetcode.com/problems/leaf-similar-trees
46,,Permutations,63.5%,Medium,0.0167595836490753, https://leetcode.com/problems/permutations
680,,Valid Palindrome II,36.6%,Easy,0.0163254124586088, https://leetcode.com/problems/valid-palindrome-ii
701,,Insert into a Binary Search Tree,77.7%,Medium,0.0155222363715618, https://leetcode.com/problems/insert-into-a-binary-search-tree
528,,Random Pick with Weight,43.9%,Medium,0.0148315659059952, https://leetcode.com/problems/random-pick-with-weight
227,,Basic Calculator II,36.9%,Medium,0.0123994149050382, https://leetcode.com/problems/basic-calculator-ii
543,,Diameter of Binary Tree,48.4%,Easy,0.0118986067984958, https://leetcode.com/problems/diameter-of-binary-tree
3,,Longest Substring Without Repeating Characters,30.4%,Medium,0.0096832424447395, https://leetcode.com/problems/longest-substring-without-repeating-characters
295,,Find Median from Data Stream,44.3%,Hard,0.0089989358685695, https://leetcode.com/problems/find-median-from-data-stream
21,,Merge Two Sorted Lists,53.5%,Easy,0.0089903398146512, https://leetcode.com/problems/merge-two-sorted-lists
215,,Kth Largest Element in an Array,55.4%,Medium,0.0087591800898815, https://leetcode.com/problems/kth-largest-element-in-an-array
78,,Subsets,62.0%,Medium,0.0082781929693712, https://leetcode.com/problems/subsets
102,,Binary Tree Level Order Traversal,54.6%,Medium,0.0081692384971294, https://leetcode.com/problems/binary-tree-level-order-traversal
692,,Top K Frequent Words,51.8%,Medium,0.0075160068209353, https://leetcode.com/problems/top-k-frequent-words
136,,Single Number,65.5%,Easy,0.0064451669687133, https://leetcode.com/problems/single-number
121,,Best Time to Buy and Sell Stock,50.5%,Easy,0.0047725193990346, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
236,,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.0047142102627264, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
22,,Generate Parentheses,62.7%,Medium,0.0043611059090124, https://leetcode.com/problems/generate-parentheses
56,,Merge Intervals,39.3%,Medium,0.0034728286335985, https://leetcode.com/problems/merge-intervals
1307,,Verbal Arithmetic Puzzle,37.7%,Hard,0.0, https://leetcode.com/problems/verbal-arithmetic-puzzle
