ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
1396,,Design Underground System,64.7%,Medium,1.6336239764997664, https://leetcode.com/problems/design-underground-system
1274,,Number of Ships in a Rectangle,66.3%,Hard,1.3841012723467938, https://leetcode.com/problems/number-of-ships-in-a-rectangle
1169,,Invalid Transactions,31.2%,Medium,1.1345785681938212, https://leetcode.com/problems/invalid-transactions
1209,,Remove All Adjacent Duplicates in String II,56.9%,Medium,0.9182875611040504, https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii
394,,Decode String,50.0%,Medium,0.8695403064407496, https://leetcode.com/problems/decode-string
430,,Flatten a Multilevel Doubly Linked List,55.1%,Medium,0.620017602287777, https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list
200,,Number of Islands,46.8%,Medium,0.581027429947078, https://leetcode.com/problems/number-of-islands
253,,Meeting Rooms II,45.7%,Medium,0.4612706163774853, https://leetcode.com/problems/meeting-rooms-ii
1472,,Design Browser History,64.6%,Medium,0.4198538455602639, https://leetcode.com/problems/design-browser-history
146,,LRU Cache,33.2%,Medium,0.4110212101491863, https://leetcode.com/problems/lru-cache
445,,Add Two Numbers II,54.5%,Medium,0.3186792865497379, https://leetcode.com/problems/add-two-numbers-ii
987,,Vertical Order Traversal of a Binary Tree,36.6%,Medium,0.3023062380978065, https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree
1029,,Two City Scheduling,56.1%,Easy,0.2336148511815051, https://leetcode.com/problems/two-city-scheduling
98,,Validate Binary Search Tree,27.8%,Medium,0.214140884493152, https://leetcode.com/problems/validate-binary-search-tree
117,,Populating Next Right Pointers in Each Node II,39.1%,Medium,0.2086053928681825, https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii
1244,,Design A Leaderboard,60.7%,Medium,0.1776309474361007, https://leetcode.com/problems/design-a-leaderboard
387,,First Unique Character in a String,53.4%,Easy,0.163142620879867, https://leetcode.com/problems/first-unique-character-in-a-string
2,,Add Two Numbers,33.9%,Medium,0.1561525859238906, https://leetcode.com/problems/add-two-numbers
723,,Candy Crush,69.2%,Medium,0.1475667107409061, https://leetcode.com/problems/candy-crush
380,,Insert Delete GetRandom O(1),47.5%,Medium,0.1466146891661091, https://leetcode.com/problems/insert-delete-getrandom-o1
384,,Shuffle an Array,52.8%,Medium,0.1295376425789998, https://leetcode.com/problems/shuffle-an-array
42,,Trapping Rain Water,48.9%,Hard,0.1238927637867539, https://leetcode.com/problems/trapping-rain-water
451,,Sort Characters By Frequency,63.0%,Medium,0.112583621321214, https://leetcode.com/problems/sort-characters-by-frequency
155,,Min Stack,44.5%,Easy,0.1124400023488586, https://leetcode.com/problems/min-stack
1188,,Design Bounded Blocking Queue,70.5%,Medium,0.110304542014706, https://leetcode.com/problems/design-bounded-blocking-queue
924,,Minimize Malware Spread,42.0%,Hard,0.1082135846402327, https://leetcode.com/problems/minimize-malware-spread
314,,Binary Tree Vertical Order Traversal,45.3%,Medium,0.1075843020016509, https://leetcode.com/problems/binary-tree-vertical-order-traversal
658,,Find K Closest Elements,40.9%,Medium,0.0995648587647672, https://leetcode.com/problems/find-k-closest-elements
611,,Valid Triangle Number,48.4%,Medium,0.0933319397922191, https://leetcode.com/problems/valid-triangle-number
20,,Valid Parentheses,39.0%,Easy,0.0928626343812616, https://leetcode.com/problems/valid-parentheses
991,,Broken Calculator,45.6%,Medium,0.0851578083403068, https://leetcode.com/problems/broken-calculator
582,,Kill Process,60.8%,Medium,0.0835558856909735, https://leetcode.com/problems/kill-process
56,,Merge Intervals,39.3%,Medium,0.0833955243057907, https://leetcode.com/problems/merge-intervals
1297,,Maximum Number of Occurrences of a Substring,47.3%,Medium,0.0777089843273162, https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring
1347,,Minimum Number of Steps to Make Two Strings Anagram,74.7%,Medium,0.0774247247797157, https://leetcode.com/problems/minimum-number-of-steps-to-make-two-strings-anagram
214,,Shortest Palindrome,29.8%,Hard,0.0753494372417868, https://leetcode.com/problems/shortest-palindrome
463,,Island Perimeter,65.7%,Easy,0.0664608065022621, https://leetcode.com/problems/island-perimeter
1145,,Binary Tree Coloring Game,51.2%,Medium,0.0659217208048242, https://leetcode.com/problems/binary-tree-coloring-game
242,,Valid Anagram,56.9%,Easy,0.0644799805542951, https://leetcode.com/problems/valid-anagram
3,,Longest Substring Without Repeating Characters,30.4%,Medium,0.0637038016266349, https://leetcode.com/problems/longest-substring-without-repeating-characters
353,,Design Snake Game,34.2%,Medium,0.0605328492288423, https://leetcode.com/problems/design-snake-game
1,,Two Sum,45.6%,Easy,0.0576212316792358, https://leetcode.com/problems/two-sum
128,,Longest Consecutive Sequence,45.1%,Hard,0.0552749003418649, https://leetcode.com/problems/longest-consecutive-sequence
1054,,Distant Barcodes,43.2%,Medium,0.054435206555017, https://leetcode.com/problems/distant-barcodes
12,,Integer to Roman,55.1%,Medium,0.0521712293696912, https://leetcode.com/problems/integer-to-roman
286,,Walls and Gates,54.5%,Medium,0.05155780966485, https://leetcode.com/problems/walls-and-gates
1312,,Minimum Insertion Steps to Make a String Palindrome,58.1%,Hard,0.0502618347808882, https://leetcode.com/problems/minimum-insertion-steps-to-make-a-string-palindrome
10,,Regular Expression Matching,26.8%,Hard,0.0440910772648496, https://leetcode.com/problems/regular-expression-matching
140,,Word Break II,32.6%,Hard,0.0424579556870704, https://leetcode.com/problems/word-break-ii
1155,,Number of Dice Rolls With Target Sum,49.0%,Medium,0.042042623295551, https://leetcode.com/problems/number-of-dice-rolls-with-target-sum
33,,Search in Rotated Sorted Array,34.5%,Medium,0.0388660226792245, https://leetcode.com/problems/search-in-rotated-sorted-array
797,,All Paths From Source to Target,77.9%,Medium,0.0388115653643458, https://leetcode.com/problems/all-paths-from-source-to-target
138,,Copy List with Random Pointer,36.4%,Medium,0.0380795322359262, https://leetcode.com/problems/copy-list-with-random-pointer
139,,Word Break,40.1%,Medium,0.0345159370901887, https://leetcode.com/problems/word-break
53,,Maximum Subarray,46.5%,Easy,0.0341220863466137, https://leetcode.com/problems/maximum-subarray
79,,Word Search,35.6%,Medium,0.0331820882143618, https://leetcode.com/problems/word-search
694,,Number of Distinct Islands,56.0%,Medium,0.0327898228229908, https://leetcode.com/problems/number-of-distinct-islands
1123,,Lowest Common Ancestor of Deepest Leaves,66.8%,Medium,0.0314738803797313, https://leetcode.com/problems/lowest-common-ancestor-of-deepest-leaves
460,,LFU Cache,34.2%,Hard,0.0309622256039668, https://leetcode.com/problems/lfu-cache
332,,Reconstruct Itinerary,36.7%,Medium,0.0306877132312374, https://leetcode.com/problems/reconstruct-itinerary
85,,Maximal Rectangle,37.7%,Hard,0.0297542610817927, https://leetcode.com/problems/maximal-rectangle
695,,Max Area of Island,62.7%,Medium,0.0283215908632461, https://leetcode.com/problems/max-area-of-island
518,,Coin Change 2,50.2%,Medium,0.027969505010125, https://leetcode.com/problems/coin-change-2
121,,Best Time to Buy and Sell Stock,50.5%,Easy,0.0257124040167447, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
283,,Move Zeroes,57.8%,Easy,0.025673520193393, https://leetcode.com/problems/move-zeroes
90,,Subsets II,47.1%,Medium,0.0254971319334837, https://leetcode.com/problems/subsets-ii
41,,First Missing Positive,32.0%,Hard,0.025402223138066, https://leetcode.com/problems/first-missing-positive
322,,Coin Change,35.5%,Medium,0.024924029676386, https://leetcode.com/problems/coin-change
30,,Substring with Concatenation of All Words,25.4%,Hard,0.0248614420653291, https://leetcode.com/problems/substring-with-concatenation-of-all-words
752,,Open the Lock,51.8%,Medium,0.0245863644401277, https://leetcode.com/problems/open-the-lock
395,,Longest Substring with At Least K Repeating Characters,41.4%,Medium,0.0242289259743798, https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters
348,,Design Tic-Tac-Toe,54.3%,Medium,0.0242142581205946, https://leetcode.com/problems/design-tic-tac-toe
662,,Maximum Width of Binary Tree,41.0%,Medium,0.0241169244783123, https://leetcode.com/problems/maximum-width-of-binary-tree
78,,Subsets,62.0%,Medium,0.0228278722060345, https://leetcode.com/problems/subsets
102,,Binary Tree Level Order Traversal,54.6%,Medium,0.0225295642534234, https://leetcode.com/problems/binary-tree-level-order-traversal
