ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
138,,Copy List with Random Pointer,36.4%,Medium,2.9916072330367776, https://leetcode.com/problems/copy-list-with-random-pointer
146,,LRU Cache,33.2%,Medium,2.88011930741835, https://leetcode.com/problems/lru-cache
1396,,Design Underground System,64.7%,Medium,2.7686313817999224, https://leetcode.com/problems/design-underground-system
430,,Flatten a Multilevel Doubly Linked List,55.1%,Medium,2.699294019942542, https://leetcode.com/problems/flatten-a-multilevel-doubly-linked-list
200,,Number of Islands,46.8%,Medium,2.5893928602940184, https://leetcode.com/problems/number-of-islands
445,,Add Two Numbers II,54.5%,Medium,2.5005209232280814, https://leetcode.com/problems/add-two-numbers-ii
723,,Candy Crush,69.2%,Medium,2.443371880409153, https://leetcode.com/problems/candy-crush
394,,Decode String,50.0%,Medium,2.4354178381724667, https://leetcode.com/problems/decode-string
582,,Kill Process,60.8%,Medium,2.329004207705794, https://leetcode.com/problems/kill-process
1,,Two Sum,45.6%,Easy,2.266337952907993, https://leetcode.com/problems/two-sum
451,,Sort Characters By Frequency,63.0%,Medium,2.214754567267123, https://leetcode.com/problems/sort-characters-by-frequency
2,,Add Two Numbers,33.9%,Medium,2.2105161651535843, https://leetcode.com/problems/add-two-numbers
1169,,Invalid Transactions,31.2%,Medium,2.1276788037634877, https://leetcode.com/problems/invalid-transactions
117,,Populating Next Right Pointers in Each Node II,39.1%,Medium,2.118212486885331, https://leetcode.com/problems/populating-next-right-pointers-in-each-node-ii
42,,Trapping Rain Water,48.9%,Hard,2.0660776889450734, https://leetcode.com/problems/trapping-rain-water
20,,Valid Parentheses,39.0%,Easy,2.0208637675689056, https://leetcode.com/problems/valid-parentheses
380,,Insert Delete GetRandom O(1),47.5%,Medium,1.9093758419504785, https://leetcode.com/problems/insert-delete-getrandom-o1
155,,Min Stack,44.5%,Easy,1.8753356079547, https://leetcode.com/problems/min-stack
98,,Validate Binary Search Tree,27.8%,Medium,1.8280334735241492, https://leetcode.com/problems/validate-binary-search-tree
253,,Meeting Rooms II,45.7%,Medium,1.7748254445172882, https://leetcode.com/problems/meeting-rooms-ii
121,,Best Time to Buy and Sell Stock,50.5%,Easy,1.7316498584399342, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
387,,First Unique Character in a String,53.4%,Easy,1.6717206372907538, https://leetcode.com/problems/first-unique-character-in-a-string
56,,Merge Intervals,39.3%,Medium,1.6344853036753997, https://leetcode.com/problems/merge-intervals
214,,Shortest Palindrome,29.8%,Hard,1.628304607593452, https://leetcode.com/problems/shortest-palindrome
1274,,Number of Ships in a Rectangle,66.3%,Hard,1.6253239794553145, https://leetcode.com/problems/number-of-ships-in-a-rectangle
1029,,Two City Scheduling,56.1%,Easy,1.6062408497394156, https://leetcode.com/problems/two-city-scheduling
283,,Move Zeroes,57.8%,Easy,1.5700380214242422, https://leetcode.com/problems/move-zeroes
116,,Populating Next Right Pointers in Each Node,45.2%,Medium,1.528216304439043, https://leetcode.com/problems/populating-next-right-pointers-in-each-node
390,,Elimination Game,44.5%,Medium,1.435519307483543, https://leetcode.com/problems/elimination-game
3,,Longest Substring Without Repeating Characters,30.4%,Medium,1.3959826812294072, https://leetcode.com/problems/longest-substring-without-repeating-characters
23,,Merge k Sorted Lists,40.2%,Hard,1.390362038117481, https://leetcode.com/problems/merge-k-sorted-lists
1209,,Remove All Adjacent Duplicates in String II,56.9%,Medium,1.2788741124990537, https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string-ii
463,,Island Perimeter,65.7%,Easy,1.245274068255333, https://leetcode.com/problems/island-perimeter
242,,Valid Anagram,56.9%,Easy,1.1337861426369056, https://leetcode.com/problems/valid-anagram
269,,Alien Dictionary,33.3%,Hard,1.099252698552309, https://leetcode.com/problems/alien-dictionary
114,,Flatten Binary Tree to Linked List,49.3%,Medium,1.0986122886681096, https://leetcode.com/problems/flatten-binary-tree-to-linked-list
139,,Word Break,40.1%,Medium,1.0903842081598691, https://leetcode.com/problems/word-break
4,,Median of Two Sorted Arrays,29.6%,Hard,1.061728298765762, https://leetcode.com/problems/median-of-two-sorted-arrays
271,,Encode and Decode Strings,31.5%,Medium,1.0528027526368156, https://leetcode.com/problems/encode-and-decode-strings
33,,Search in Rotated Sorted Array,34.5%,Medium,1.0520357838367609, https://leetcode.com/problems/search-in-rotated-sorted-array
12,,Integer to Roman,55.1%,Medium,1.0302007147147747, https://leetcode.com/problems/integer-to-roman
206,,Reverse Linked List,62.5%,Easy,1.0194232916385328, https://leetcode.com/problems/reverse-linked-list
301,,Remove Invalid Parentheses,43.3%,Hard,1.0163915378390016, https://leetcode.com/problems/remove-invalid-parentheses
21,,Merge Two Sorted Lists,53.5%,Easy,0.9730025194287448, https://leetcode.com/problems/merge-two-sorted-lists
7,,Reverse Integer,25.8%,Easy,0.9636538129651142, https://leetcode.com/problems/reverse-integer
69,,Sqrt(x),33.9%,Easy,0.9425416082510272, https://leetcode.com/problems/sqrtx
628,,Maximum Product of Three Numbers,47.1%,Easy,0.9179560111932162, https://leetcode.com/problems/maximum-product-of-three-numbers
15,,3Sum,26.8%,Medium,0.911546418898434, https://leetcode.com/problems/3sum
346,,Moving Average from Data Stream,70.9%,Easy,0.893574774039618, https://leetcode.com/problems/moving-average-from-data-stream
105,,Construct Binary Tree from Preorder and Inorder Traversal,48.8%,Medium,0.856966942738701, https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
554,,Brick Wall,50.0%,Medium,0.8487112881843506, https://leetcode.com/problems/brick-wall
460,,LFU Cache,34.2%,Hard,0.8452742509276767, https://leetcode.com/problems/lfu-cache
53,,Maximum Subarray,46.5%,Easy,0.8338660450189812, https://leetcode.com/problems/maximum-subarray
692,,Top K Frequent Words,51.8%,Medium,0.8219759071619612, https://leetcode.com/problems/top-k-frequent-words
5,,Longest Palindromic Substring,29.5%,Medium,0.8154521489335768, https://leetcode.com/problems/longest-palindromic-substring
239,,Sliding Window Maximum,43.0%,Hard,0.8060721931479718, https://leetcode.com/problems/sliding-window-maximum
295,,Find Median from Data Stream,44.3%,Hard,0.7864008043695105, https://leetcode.com/problems/find-median-from-data-stream
62,,Unique Paths,54.1%,Medium,0.7819517612115802, https://leetcode.com/problems/unique-paths
236,,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.7585897524597297, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
54,,Spiral Matrix,34.1%,Medium,0.7505169147393441, https://leetcode.com/problems/spiral-matrix
273,,Integer to English Words,27.1%,Hard,0.7404748586772619, https://leetcode.com/problems/integer-to-english-words
611,,Valid Triangle Number,48.4%,Medium,0.7357067949787413, https://leetcode.com/problems/valid-triangle-number
160,,Intersection of Two Linked Lists,40.6%,Easy,0.7095335003665627, https://leetcode.com/problems/intersection-of-two-linked-lists
332,,Reconstruct Itinerary,36.7%,Medium,0.6934933810134637, https://leetcode.com/problems/reconstruct-itinerary
987,,Vertical Order Traversal of a Binary Tree,36.6%,Medium,0.6653429641530142, https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree
173,,Binary Search Tree Iterator,56.6%,Medium,0.6626352388032212, https://leetcode.com/problems/binary-search-tree-iterator
10,,Regular Expression Matching,26.8%,Hard,0.6273817982285409, https://leetcode.com/problems/regular-expression-matching
122,,Best Time to Buy and Sell Stock II,57.0%,Easy,0.620692101344523, https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii
