ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
440,,K-th Smallest in Lexicographical Order,29.1%,Hard,0.6255531303521535, https://leetcode.com/problems/k-th-smallest-in-lexicographical-order
465,,Optimal Account Balancing,46.9%,Hard,0.5742250229838192, https://leetcode.com/problems/optimal-account-balancing
42,,Trapping Rain Water,48.9%,Hard,0.5642428619989066, https://leetcode.com/problems/trapping-rain-water
493,,Reverse Pairs,25.2%,Hard,0.5129147546305722, https://leetcode.com/problems/reverse-pairs
351,,Android Unlock Patterns,48.4%,Medium,0.4932463309863216, https://leetcode.com/problems/android-unlock-patterns
25,,Reverse Nodes in k-Group,42.1%,Hard,0.4843978663699508, https://leetcode.com/problems/reverse-nodes-in-k-group
146,,LRU Cache,33.2%,Medium,0.4555489526464103, https://leetcode.com/problems/lru-cache
407,,Trapping Rain Water II,42.4%,Hard,0.4506714555662511, https://leetcode.com/problems/trapping-rain-water-ii
726,,Number of Atoms,49.0%,Hard,0.444497284392603, https://leetcode.com/problems/number-of-atoms
403,,Frog Jump,39.7%,Hard,0.4059129982084613, https://leetcode.com/problems/frog-jump
777,,Swap Adjacent in LR String,34.8%,Medium,0.3886435093009646, https://leetcode.com/problems/swap-adjacent-in-lr-string
470,,Implement Rand10() Using Rand7(),46.3%,Medium,0.3541335285236038, https://leetcode.com/problems/implement-rand10-using-rand7
1202,,Smallest String With Swaps,46.5%,Medium,0.3224673282497418, https://leetcode.com/problems/smallest-string-with-swaps
1262,,Greatest Sum Divisible by Three,47.6%,Medium,0.3224376243383285, https://leetcode.com/problems/greatest-sum-divisible-by-three
1172,,Dinner Plate Stacks,38.2%,Hard,0.2711095169699942, https://leetcode.com/problems/dinner-plate-stacks
1057,,Campus Bikes,57.7%,Medium,0.2582475718767295, https://leetcode.com/problems/campus-bikes
31,,Next Permutation,32.6%,Medium,0.258033900040813, https://leetcode.com/problems/next-permutation
670,,Maximum Swap,43.6%,Medium,0.2295474365135236, https://leetcode.com/problems/maximum-swap
143,,Reorder List,37.1%,Medium,0.2117804582764529, https://leetcode.com/problems/reorder-list
33,,Search in Rotated Sorted Array,34.5%,Medium,0.1881816310890415, https://leetcode.com/problems/search-in-rotated-sorted-array
681,,Next Closest Time,45.0%,Medium,0.1881261522599218, https://leetcode.com/problems/next-closest-time
445,,Add Two Numbers II,54.5%,Medium,0.1810800917058897, https://leetcode.com/problems/add-two-numbers-ii
1283,,Find the Smallest Divisor Given a Threshold,47.6%,Medium,0.1788475571827798, https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold
1235,,Maximum Profit in Job Scheduling,44.0%,Hard,0.1532629744871177, https://leetcode.com/problems/maximum-profit-in-job-scheduling
695,,Max Area of Island,62.7%,Medium,0.1453113999428855, https://leetcode.com/problems/max-area-of-island
317,,Shortest Distance from All Buildings,41.4%,Hard,0.1438742388841729, https://leetcode.com/problems/shortest-distance-from-all-buildings
51,,N-Queens,46.6%,Hard,0.1386833875339506, https://leetcode.com/problems/n-queens
449,,Serialize and Deserialize BST,52.0%,Medium,0.1327502812764459, https://leetcode.com/problems/serialize-and-deserialize-bst
316,,Remove Duplicate Letters,35.8%,Hard,0.1165801830326188, https://leetcode.com/problems/remove-duplicate-letters
240,,Search a 2D Matrix II,43.2%,Medium,0.1149245296604198, https://leetcode.com/problems/search-a-2d-matrix-ii
329,,Longest Increasing Path in a Matrix,43.4%,Hard,0.1145926416581286, https://leetcode.com/problems/longest-increasing-path-in-a-matrix
215,,Kth Largest Element in an Array,55.4%,Medium,0.1117914059881167, https://leetcode.com/problems/kth-largest-element-in-an-array
199,,Binary Tree Right Side View,54.1%,Medium,0.1092140301774927, https://leetcode.com/problems/binary-tree-right-side-view
856,,Score of Parentheses,60.5%,Medium,0.0999721929101361, https://leetcode.com/problems/score-of-parentheses
207,,Course Schedule,43.1%,Medium,0.0960111487529696, https://leetcode.com/problems/course-schedule
