ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
1290,,Convert Binary Number in a Linked List to Integer,80.4%,Easy,0.1661053170661279, https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer
3,,Longest Substring Without Repeating Characters,30.4%,Medium,0.1446927465337468, https://leetcode.com/problems/longest-substring-without-repeating-characters
394,,Decode String,50.0%,Medium,0.1232801760013658, https://leetcode.com/problems/decode-string
56,,Merge Intervals,39.3%,Medium,0.1179956104206945, https://leetcode.com/problems/merge-intervals
247,,Strobogrammatic Number II,47.6%,Medium,0.1040197878075301, https://leetcode.com/problems/strobogrammatic-number-ii
1235,,Maximum Profit in Job Scheduling,44.0%,Hard,0.0890796300536887, https://leetcode.com/problems/maximum-profit-in-job-scheduling
1,,Two Sum,45.6%,Easy,0.0866453028230218, https://leetcode.com/problems/two-sum
909,,Snakes and Ladders,38.4%,Medium,0.083926207699934, https://leetcode.com/problems/snakes-and-ladders
198,,House Robber,42.0%,Easy,0.0734691126642639, https://leetcode.com/problems/house-robber
246,,Strobogrammatic Number,45.0%,Easy,0.0718011660558068, https://leetcode.com/problems/strobogrammatic-number
146,,LRU Cache,33.2%,Medium,0.0711806782206288, https://leetcode.com/problems/lru-cache
5,,Longest Palindromic Substring,29.5%,Medium,0.0667502613531191, https://leetcode.com/problems/longest-palindromic-substring
53,,Maximum Subarray,46.5%,Easy,0.0528161607048762, https://leetcode.com/problems/maximum-subarray
206,,Reverse Linked List,62.5%,Easy,0.0463469672541273, https://leetcode.com/problems/reverse-linked-list
48,,Rotate Image,56.7%,Medium,0.0449513878622663, https://leetcode.com/problems/rotate-image
25,,Reverse Nodes in k-Group,42.1%,Hard,0.040236757867738, https://leetcode.com/problems/reverse-nodes-in-k-group
241,,Different Ways to Add Parentheses,55.2%,Medium,0.0388021518564797, https://leetcode.com/problems/different-ways-to-add-parentheses
905,,Sort Array By Parity,74.1%,Easy,0.0378743492924358, https://leetcode.com/problems/sort-array-by-parity
628,,Maximum Product of Three Numbers,47.1%,Easy,0.0368139731227163, https://leetcode.com/problems/maximum-product-of-three-numbers
91,,Decode Ways,24.7%,Medium,0.0367310279187948, https://leetcode.com/problems/decode-ways
20,,Valid Parentheses,39.0%,Easy,0.0361887174223911, https://leetcode.com/problems/valid-parentheses
468,,Validate IP Address,24.1%,Medium,0.0344861760711693, https://leetcode.com/problems/validate-ip-address
2,,Add Two Numbers,33.9%,Medium,0.033650830145699, https://leetcode.com/problems/add-two-numbers
102,,Binary Tree Level Order Traversal,54.6%,Medium,0.0322840088929133, https://leetcode.com/problems/binary-tree-level-order-traversal
88,,Merge Sorted Array,39.4%,Easy,0.0267713787139141, https://leetcode.com/problems/merge-sorted-array
54,,Spiral Matrix,34.1%,Medium,0.0261196696689221, https://leetcode.com/problems/spiral-matrix
143,,Reorder List,37.1%,Medium,0.0258709455986492, https://leetcode.com/problems/reorder-list
605,,Can Place Flowers,31.6%,Easy,0.0245712607305053, https://leetcode.com/problems/can-place-flowers
33,,Search in Rotated Sorted Array,34.5%,Medium,0.0200182839715896, https://leetcode.com/problems/search-in-rotated-sorted-array
450,,Delete Node in a BST,43.1%,Medium,0.0185362119079152, https://leetcode.com/problems/delete-node-in-a-bst
235,,Lowest Common Ancestor of a Binary Search Tree,49.9%,Easy,0.0183941421559744, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree
253,,Meeting Rooms II,45.7%,Medium,0.0180873098105793, https://leetcode.com/problems/meeting-rooms-ii
200,,Number of Islands,46.8%,Medium,0.0179254817660544, https://leetcode.com/problems/number-of-islands
191,,Number of 1 Bits,49.8%,Easy,0.0167352362404584, https://leetcode.com/problems/number-of-1-bits
189,,Rotate Array,34.7%,Easy,0.0160227741881222, https://leetcode.com/problems/rotate-array
384,,Shuffle an Array,52.8%,Medium,0.0152500096097238, https://leetcode.com/problems/shuffle-an-array
8,,String to Integer (atoi),15.4%,Medium,0.0150846642735719, https://leetcode.com/problems/string-to-integer-atoi
21,,Merge Two Sorted Lists,53.5%,Easy,0.0140121113321347, https://leetcode.com/problems/merge-two-sorted-lists
144,,Binary Tree Preorder Traversal,55.7%,Medium,0.0136676387286638, https://leetcode.com/problems/binary-tree-preorder-traversal
344,,Reverse String,68.5%,Easy,0.013014662307854, https://leetcode.com/problems/reverse-string
445,,Add Two Numbers II,54.5%,Medium,0.0123306124574787, https://leetcode.com/problems/add-two-numbers-ii
234,,Palindrome Linked List,39.3%,Easy,0.0101718779387339, https://leetcode.com/problems/palindrome-linked-list
739,,Daily Temperatures,63.3%,Medium,0.0100326901218144, https://leetcode.com/problems/daily-temperatures
212,,Word Search II,34.9%,Hard,0.0098450216788048, https://leetcode.com/problems/word-search-ii
22,,Generate Parentheses,62.7%,Medium,0.0097858778106325, https://leetcode.com/problems/generate-parentheses
279,,Perfect Squares,47.4%,Medium,0.009216655104924, https://leetcode.com/problems/perfect-squares
125,,Valid Palindrome,36.7%,Easy,0.0089339486415516, https://leetcode.com/problems/valid-palindrome
49,,Group Anagrams,56.9%,Medium,0.0085389513142321, https://leetcode.com/problems/group-anagrams
173,,Binary Search Tree Iterator,56.6%,Medium,0.0084890153249113, https://leetcode.com/problems/binary-search-tree-iterator
876,,Middle of the Linked List,68.4%,Easy,0.0076248939756969, https://leetcode.com/problems/middle-of-the-linked-list
14,,Longest Common Prefix,35.4%,Easy,0.0074553029209059, https://leetcode.com/problems/longest-common-prefix
412,,Fizz Buzz,62.3%,Easy,0.0071659210261436, https://leetcode.com/problems/fizz-buzz
110,,Balanced Binary Tree,43.5%,Easy,0.0070274358074568, https://leetcode.com/problems/balanced-binary-tree
151,,Reverse Words in a String,21.9%,Medium,0.006135929666927, https://leetcode.com/problems/reverse-words-in-a-string
108,,Convert Sorted Array to Binary Search Tree,57.9%,Easy,0.0055540270513749, https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree
237,,Delete Node in a Linked List,63.8%,Easy,0.0051447058812376, https://leetcode.com/problems/delete-node-in-a-linked-list
207,,Course Schedule,43.1%,Medium,0.0049640211142117, https://leetcode.com/problems/course-schedule
160,,Intersection of Two Linked Lists,40.6%,Easy,0.0049013699397204, https://leetcode.com/problems/intersection-of-two-linked-lists
17,,Letter Combinations of a Phone Number,46.8%,Medium,0.0044018999217624, https://leetcode.com/problems/letter-combinations-of-a-phone-number
46,,Permutations,63.5%,Medium,0.0042163022301392, https://leetcode.com/problems/permutations
7,,Reverse Integer,25.8%,Easy,0.0041829397298451, https://leetcode.com/problems/reverse-integer
242,,Valid Anagram,56.9%,Easy,0.0041541237431159, https://leetcode.com/problems/valid-anagram
23,,Merge k Sorted Lists,40.2%,Hard,0.004051459000748, https://leetcode.com/problems/merge-k-sorted-lists
141,,Linked List Cycle,41.1%,Easy,0.0034937584669245, https://leetcode.com/problems/linked-list-cycle
19,,Remove Nth Node From End of List,35.2%,Medium,0.0030764522033934, https://leetcode.com/problems/remove-nth-node-from-end-of-list
15,,3Sum,26.8%,Medium,0.0021990113314367, https://leetcode.com/problems/3sum
