ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
1290,,Convert Binary Number in a Linked List to Integer,80.4%,Easy,0.069566501569933, https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer
1235,,Maximum Profit in Job Scheduling,44.0%,Hard,0.0673279730888344, https://leetcode.com/problems/maximum-profit-in-job-scheduling
909,,Snakes and Ladders,38.4%,Medium,0.0621745507350797, https://leetcode.com/problems/snakes-and-ladders
394,,Decode String,50.0%,Medium,0.0494527893269372, https://leetcode.com/problems/decode-string
91,,Decode Ways,24.7%,Medium,0.0367310279187948, https://leetcode.com/problems/decode-ways
198,,House Robber,42.0%,Easy,0.033320991026093, https://leetcode.com/problems/house-robber
246,,Strobogrammatic Number,45.0%,Easy,0.032549659510785, https://leetcode.com/problems/strobogrammatic-number
56,,Merge Intervals,39.3%,Medium,0.0215099061352744, https://leetcode.com/problems/merge-intervals
53,,Maximum Subarray,46.5%,Easy,0.019336728821707, https://leetcode.com/problems/maximum-subarray
450,,Delete Node in a BST,43.1%,Medium,0.0185362119079152, https://leetcode.com/problems/delete-node-in-a-bst
191,,Number of 1 Bits,49.8%,Easy,0.0167352362404584, https://leetcode.com/problems/number-of-1-bits
5,,Longest Palindromic Substring,29.5%,Medium,0.0141613332940249, https://leetcode.com/problems/longest-palindromic-substring
48,,Rotate Image,56.7%,Medium,0.0114286958236227, https://leetcode.com/problems/rotate-image
739,,Daily Temperatures,63.3%,Medium,0.0100326901218144, https://leetcode.com/problems/daily-temperatures
212,,Word Search II,34.9%,Hard,0.0098450216788048, https://leetcode.com/problems/word-search-ii
905,,Sort Array By Parity,74.1%,Easy,0.0096039153541803, https://leetcode.com/problems/sort-array-by-parity
49,,Group Anagrams,56.9%,Medium,0.0085389513142321, https://leetcode.com/problems/group-anagrams
1,,Two Sum,45.6%,Easy,0.0051178232035212, https://leetcode.com/problems/two-sum
207,,Course Schedule,43.1%,Medium,0.0049640211142117, https://leetcode.com/problems/course-schedule
234,,Palindrome Linked List,39.3%,Easy,0.0045336131148289, https://leetcode.com/problems/palindrome-linked-list
22,,Generate Parentheses,62.7%,Medium,0.0043611059090124, https://leetcode.com/problems/generate-parentheses
8,,String to Integer (atoi),15.4%,Medium,0.0037925521897059, https://leetcode.com/problems/string-to-integer-atoi
102,,Binary Tree Level Order Traversal,54.6%,Medium,0.003639014205004, https://leetcode.com/problems/binary-tree-level-order-traversal
3,,Longest Substring Without Repeating Characters,30.4%,Medium,0.0034967787592642, https://leetcode.com/problems/longest-substring-without-repeating-characters
20,,Valid Parentheses,39.0%,Easy,0.0023005704055949, https://leetcode.com/problems/valid-parentheses
