ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
206,,Reverse Linked List,62.5%,Easy,0.5096020824537725, https://leetcode.com/problems/reverse-linked-list
1,,Two Sum,45.6%,Easy,0.474067000412212, https://leetcode.com/problems/two-sum
1235,,Maximum Profit in Job Scheduling,44.0%,Hard,0.4102843945441133, https://leetcode.com/problems/maximum-profit-in-job-scheduling
56,,Merge Intervals,39.3%,Medium,0.3513205757185784, https://leetcode.com/problems/merge-intervals
146,,LRU Cache,33.2%,Medium,0.2875379698504796, https://leetcode.com/problems/lru-cache
1290,,Convert Binary Number in a Linked List to Integer,80.4%,Easy,0.2786775093586991, https://leetcode.com/problems/convert-binary-number-in-a-linked-list-to-integer
2,,Add Two Numbers,33.9%,Medium,0.2343363811378215, https://leetcode.com/problems/add-two-numbers
3,,Longest Substring Without Repeating Characters,30.4%,Medium,0.2335743075399183, https://leetcode.com/problems/longest-substring-without-repeating-characters
48,,Rotate Image,56.7%,Medium,0.2233989465397072, https://leetcode.com/problems/rotate-image
909,,Snakes and Ladders,38.4%,Medium,0.2176811889223697, https://leetcode.com/problems/snakes-and-ladders
344,,Reverse String,68.5%,Easy,0.2123767746022018, https://leetcode.com/problems/reverse-string
468,,Validate IP Address,24.1%,Medium,0.1982754847361962, https://leetcode.com/problems/validate-ip-address
246,,Strobogrammatic Number,45.0%,Easy,0.187957697907993, https://leetcode.com/problems/strobogrammatic-number
394,,Decode String,50.0%,Medium,0.186481268202997, https://leetcode.com/problems/decode-string
5,,Longest Palindromic Substring,29.5%,Medium,0.1696048381235884, https://leetcode.com/problems/longest-palindromic-substring
235,,Lowest Common Ancestor of a Binary Search Tree,49.9%,Easy,0.1545042241123621, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree
191,,Number of 1 Bits,49.8%,Easy,0.1413992905633252, https://leetcode.com/problems/number-of-1-bits
91,,Decode Ways,24.7%,Medium,0.1394625859891482, https://leetcode.com/problems/decode-ways
198,,House Robber,42.0%,Easy,0.1270989842665145, https://leetcode.com/problems/house-robber
25,,Reverse Nodes in k-Group,42.1%,Hard,0.1184385958275047, https://leetcode.com/problems/reverse-nodes-in-k-group
53,,Maximum Subarray,46.5%,Easy,0.115140069653099, https://leetcode.com/problems/maximum-subarray
