ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
829,,Consecutive Numbers Sum,37.5%,Hard,1.7290600615878309, https://leetcode.com/problems/consecutive-numbers-sum
1048,,Longest String Chain,54.7%,Medium,1.016830261064837, https://leetcode.com/problems/longest-string-chain
241,,Different Ways to Add Parentheses,55.2%,Medium,0.304600460541843, https://leetcode.com/problems/different-ways-to-add-parentheses
647,,Palindromic Substrings,60.6%,Medium,0.1920320544594441, https://leetcode.com/problems/palindromic-substrings
285,,Inorder Successor in BST,40.4%,Medium,0.1850469943157836, https://leetcode.com/problems/inorder-successor-in-bst
32,,Longest Valid Parentheses,28.4%,Hard,0.1366729059892746, https://leetcode.com/problems/longest-valid-parentheses
935,,Knight Dialer,45.2%,Medium,0.0973741640251763, https://leetcode.com/problems/knight-dialer
121,,Best Time to Buy and Sell Stock,50.5%,Easy,0.0860230966719162, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
42,,Trapping Rain Water,48.9%,Hard,0.0846104154520916, https://leetcode.com/problems/trapping-rain-water
122,,Best Time to Buy and Sell Stock II,57.0%,Easy,0.0658292704234809, https://leetcode.com/problems/best-time-to-buy-and-sell-stock-ii
221,,Maximal Square,37.7%,Medium,0.060244665945199, https://leetcode.com/problems/maximal-square
20,,Valid Parentheses,39.0%,Easy,0.0559837223814206, https://leetcode.com/problems/valid-parentheses
295,,Find Median from Data Stream,44.3%,Hard,0.0549588842807574, https://leetcode.com/problems/find-median-from-data-stream
622,,Design Circular Queue,43.7%,Medium,0.0498442040772913, https://leetcode.com/problems/design-circular-queue
239,,Sliding Window Maximum,43.0%,Hard,0.0483746857022364, https://leetcode.com/problems/sliding-window-maximum
240,,Search a 2D Matrix II,43.2%,Medium,0.0464767658457288, https://leetcode.com/problems/search-a-2d-matrix-ii
146,,LRU Cache,33.2%,Medium,0.0406605982112689, https://leetcode.com/problems/lru-cache
724,,Find Pivot Index,44.0%,Easy,0.0308984415512341, https://leetcode.com/problems/find-pivot-index
332,,Reconstruct Itinerary,36.7%,Medium,0.0306877132312374, https://leetcode.com/problems/reconstruct-itinerary
123,,Best Time to Buy and Sell Stock III,37.5%,Hard,0.025162076719508, https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iii
199,,Binary Tree Right Side View,54.1%,Medium,0.0225393398460615, https://leetcode.com/problems/binary-tree-right-side-view
105,,Construct Binary Tree from Preorder and Inorder Traversal,48.8%,Medium,0.0223254702990254, https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
628,,Maximum Product of Three Numbers,47.1%,Easy,0.0165293019512105, https://leetcode.com/problems/maximum-product-of-three-numbers
1,,Two Sum,45.6%,Easy,0.0164875806374676, https://leetcode.com/problems/two-sum
225,,Implement Stack using Queues,45.1%,Easy,0.0164409786334575, https://leetcode.com/problems/implement-stack-using-queues
340,,Longest Substring with At Most K Distinct Characters,44.1%,Hard,0.0161228804865631, https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters
297,,Serialize and Deserialize Binary Tree,47.5%,Hard,0.0158537757721772, https://leetcode.com/problems/serialize-and-deserialize-binary-tree
15,,3Sum,26.8%,Medium,0.0136651484190809, https://leetcode.com/problems/3sum
53,,Maximum Subarray,46.5%,Easy,0.0134678542694139, https://leetcode.com/problems/maximum-subarray
85,,Maximal Rectangle,37.7%,Hard,0.0133335308694651, https://leetcode.com/problems/maximal-rectangle
200,,Number of Islands,46.8%,Medium,0.0115092624205908, https://leetcode.com/problems/number-of-islands
232,,Implement Queue using Stacks,49.6%,Easy,0.0112423893489338, https://leetcode.com/problems/implement-queue-using-stacks
212,,Word Search II,34.9%,Hard,0.0098450216788048, https://leetcode.com/problems/word-search-ii
70,,Climbing Stairs,47.8%,Easy,0.0093907984835275, https://leetcode.com/problems/climbing-stairs
28,,Implement strStr(),34.5%,Easy,0.0088504855425745, https://leetcode.com/problems/implement-strstr
253,,Meeting Rooms II,45.7%,Medium,0.0080792198705464, https://leetcode.com/problems/meeting-rooms-ii
151,,Reverse Words in a String,21.9%,Medium,0.006135929666927, https://leetcode.com/problems/reverse-words-in-a-string
8,,String to Integer (atoi),15.4%,Medium,0.0037925521897059, https://leetcode.com/problems/string-to-integer-atoi
102,,Binary Tree Level Order Traversal,54.6%,Medium,0.003639014205004, https://leetcode.com/problems/binary-tree-level-order-traversal
718,,Maximum Length of Repeated Subarray,49.4%,Medium,0.0, https://leetcode.com/problems/maximum-length-of-repeated-subarray
1515,,Best Position for a Service Centre,35.9%,Hard,0.0, https://leetcode.com/problems/best-position-for-a-service-centre
