ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
146,,LRU Cache,33.2%,Medium,0.1670384229684167, https://leetcode.com/problems/lru-cache
281,,Zigzag Iterator,58.4%,Medium,0.1082135846402327, https://leetcode.com/problems/zigzag-iterator
529,,Minesweeper,59.1%,Medium,0.0921839560780585, https://leetcode.com/problems/minesweeper
200,,Number of Islands,46.8%,Medium,0.0333591177498745, https://leetcode.com/problems/number-of-islands
304,,Range Sum Query 2D - Immutable,38.6%,Medium,0.0301631446083199, https://leetcode.com/problems/range-sum-query-2d-immutable
695,,Max Area of Island,62.7%,Medium,0.0270937704622598, https://leetcode.com/problems/max-area-of-island
44,,Wildcard Matching,24.7%,Hard,0.0131106433830192, https://leetcode.com/problems/wildcard-matching
986,,Interval List Intersections,67.3%,Medium,0.011438500466121, https://leetcode.com/problems/interval-list-intersections
23,,Merge k Sorted Lists,40.2%,Hard,0.0086999098755459, https://leetcode.com/problems/merge-k-sorted-lists
63,,Unique Paths II,34.6%,Medium,0.0083752583367324, https://leetcode.com/problems/unique-paths-ii
394,,Decode String,50.0%,Medium,0.0077851697215559, https://leetcode.com/problems/decode-string
56,,Merge Intervals,39.3%,Medium,0.0074386655924217, https://leetcode.com/problems/merge-intervals
36,,Valid Sudoku,48.7%,Medium,0.0069420618952821, https://leetcode.com/problems/valid-sudoku
79,,Word Search,35.6%,Medium,0.0065480078446905, https://leetcode.com/problems/word-search
