ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
545,,Boundary of Binary Tree,38.9%,Medium,0.1500082215670966, https://leetcode.com/problems/boundary-of-binary-tree
968,,Binary Tree Cameras,37.5%,Hard,0.125864220890004, https://leetcode.com/problems/binary-tree-cameras
146,,LRU Cache,33.2%,Medium,0.1090999130829226, https://leetcode.com/problems/lru-cache
498,,Diagonal Traverse,48.2%,Medium,0.1059892487813359, https://leetcode.com/problems/diagonal-traverse
962,,Maximum Width Ramp,45.4%,Medium,0.0818452481042433, https://leetcode.com/problems/maximum-width-ramp
250,,Count Univalue Subtrees,52.0%,Medium,0.0797588183884502, https://leetcode.com/problems/count-univalue-subtrees
244,,Shortest Word Distance II,52.3%,Medium,0.0762273653878842, https://leetcode.com/problems/shortest-word-distance-ii
253,,Meeting Rooms II,45.7%,Medium,0.0704654566800056, https://leetcode.com/problems/meeting-rooms-ii
846,,Hand of Straights,54.2%,Medium,0.0647242394034963, https://leetcode.com/problems/hand-of-straights
366,,Find Leaves of Binary Tree,70.6%,Medium,0.0552626786750494, https://leetcode.com/problems/find-leaves-of-binary-tree
143,,Reorder List,37.1%,Medium,0.0455400258860835, https://leetcode.com/problems/reorder-list
341,,Flatten Nested List Iterator,52.9%,Medium,0.0444078884894403, https://leetcode.com/problems/flatten-nested-list-iterator
1146,,Snapshot Array,37.0%,Medium,0.0317991816929387, https://leetcode.com/problems/snapshot-array
284,,Peeking Iterator,45.7%,Medium,0.0311067071322548, https://leetcode.com/problems/peeking-iterator
227,,Basic Calculator II,36.9%,Medium,0.027685557859864, https://leetcode.com/problems/basic-calculator-ii
1438,,Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,42.1%,Medium,0.0269558099885282, https://leetcode.com/problems/longest-continuous-subarray-with-absolute-diff-less-than-or-equal-to-limit
130,,Surrounded Regions,28.1%,Medium,0.0267236805521127, https://leetcode.com/problems/surrounded-regions
951,,Flip Equivalent Binary Trees,65.8%,Medium,0.0252698221880763, https://leetcode.com/problems/flip-equivalent-binary-trees
40,,Combination Sum II,48.2%,Medium,0.0214242900440833, https://leetcode.com/problems/combination-sum-ii
698,,Partition to K Equal Sum Subsets,45.0%,Medium,0.0210978289646358, https://leetcode.com/problems/partition-to-k-equal-sum-subsets
1122,,Relative Sort Array,67.7%,Easy,0.0196856750710303, https://leetcode.com/problems/relative-sort-array
787,,Cheapest Flights Within K Stops,39.3%,Medium,0.0188240852456355, https://leetcode.com/problems/cheapest-flights-within-k-stops
394,,Decode String,50.0%,Medium,0.0182820448374491, https://leetcode.com/problems/decode-string
283,,Move Zeroes,57.8%,Easy,0.017898530503776, https://leetcode.com/problems/move-zeroes
560,,Subarray Sum Equals K,43.9%,Medium,0.0170090206660133, https://leetcode.com/problems/subarray-sum-equals-k
240,,Search a 2D Matrix II,43.2%,Medium,0.0169815401480941, https://leetcode.com/problems/search-a-2d-matrix-ii
658,,Find K Closest Elements,40.9%,Medium,0.0166116776668961, https://leetcode.com/problems/find-k-closest-elements
51,,N-Queens,46.6%,Hard,0.0163938097756764, https://leetcode.com/problems/n-queens
297,,Serialize and Deserialize Binary Tree,47.5%,Hard,0.0158537757721772, https://leetcode.com/problems/serialize-and-deserialize-binary-tree
215,,Kth Largest Element in an Array,55.4%,Medium,0.0155192251476009, https://leetcode.com/problems/kth-largest-element-in-an-array
977,,Squares of a Sorted Array,72.1%,Easy,0.0154741965825973, https://leetcode.com/problems/squares-of-a-sorted-array
153,,Find Minimum in Rotated Sorted Array,45.1%,Medium,0.0149395869161867, https://leetcode.com/problems/find-minimum-in-rotated-sorted-array
443,,String Compression,41.3%,Easy,0.0139084300461319, https://leetcode.com/problems/string-compression
703,,Kth Largest Element in a Stream,49.7%,Easy,0.0138987643908149, https://leetcode.com/problems/kth-largest-element-in-a-stream
138,,Copy List with Random Pointer,36.4%,Medium,0.0138762633557664, https://leetcode.com/problems/copy-list-with-random-pointer
767,,Reorganize String,48.7%,Medium,0.0132980683046314, https://leetcode.com/problems/reorganize-string
665,,Non-decreasing Array,19.5%,Easy,0.0130167799501917, https://leetcode.com/problems/non-decreasing-array
33,,Search in Rotated Sorted Array,34.5%,Medium,0.0128577791942893, https://leetcode.com/problems/search-in-rotated-sorted-array
129,,Sum Root to Leaf Numbers,49.1%,Medium,0.0127390257774297, https://leetcode.com/problems/sum-root-to-leaf-numbers
213,,House Robber II,36.5%,Medium,0.0126543922104975, https://leetcode.com/problems/house-robber-ii
287,,Find the Duplicate Number,55.5%,Medium,0.0123356827391886, https://leetcode.com/problems/find-the-duplicate-number
