ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
974,,Subarray Sums Divisible by K,48.9%,Medium,0.2389788075261777, https://leetcode.com/problems/subarray-sums-divisible-by-k
1283,,Find the Smallest Divisor Given a Threshold,47.6%,Medium,0.1788475571827798, https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold
443,,String Compression,41.3%,Easy,0.1187163068393819, https://leetcode.com/problems/string-compression
713,,Subarray Product Less Than K,39.1%,Medium,0.0954809399720847, https://leetcode.com/problems/subarray-product-less-than-k
973,,K Closest Points to Origin,63.8%,Medium,0.0886024672218716, https://leetcode.com/problems/k-closest-points-to-origin
884,,Uncommon Words from Two Sentences,63.3%,Easy,0.079900510730531, https://leetcode.com/problems/uncommon-words-from-two-sentences
33,,Search in Rotated Sorted Array,34.5%,Medium,0.0777755002246402, https://leetcode.com/problems/search-in-rotated-sorted-array
20,,Valid Parentheses,39.0%,Easy,0.0673524026442898, https://leetcode.com/problems/valid-parentheses
146,,LRU Cache,33.2%,Medium,0.0406605982112689, https://leetcode.com/problems/lru-cache
200,,Number of Islands,46.8%,Medium,0.0348368205372154, https://leetcode.com/problems/number-of-islands
724,,Find Pivot Index,44.0%,Easy,0.0308984415512341, https://leetcode.com/problems/find-pivot-index
451,,Sort Characters By Frequency,63.0%,Medium,0.029356315510965, https://leetcode.com/problems/sort-characters-by-frequency
297,,Serialize and Deserialize Binary Tree,47.5%,Hard,0.0280130362276739, https://leetcode.com/problems/serialize-and-deserialize-binary-tree
295,,Find Median from Data Stream,44.3%,Hard,0.0201349084090559, https://leetcode.com/problems/find-median-from-data-stream
37,,Sudoku Solver,43.6%,Hard,0.0182154398913411, https://leetcode.com/problems/sudoku-solver
314,,Binary Tree Vertical Order Traversal,45.3%,Medium,0.0180103922744653, https://leetcode.com/problems/binary-tree-vertical-order-traversal
692,,Top K Frequent Words,51.8%,Medium,0.0168322657431721, https://leetcode.com/problems/top-k-frequent-words
73,,Set Matrix Zeroes,43.1%,Medium,0.0157153574796282, https://leetcode.com/problems/set-matrix-zeroes
198,,House Robber,42.0%,Easy,0.0149465650306391, https://leetcode.com/problems/house-robber
404,,Sum of Left Leaves,50.9%,Easy,0.0139813532303405, https://leetcode.com/problems/sum-of-left-leaves
138,,Copy List with Random Pointer,36.4%,Medium,0.0138762633557664, https://leetcode.com/problems/copy-list-with-random-pointer
134,,Gas Station,38.5%,Medium,0.0135274298171563, https://leetcode.com/problems/gas-station
88,,Merge Sorted Array,39.4%,Easy,0.0119869580329825, https://leetcode.com/problems/merge-sorted-array
160,,Intersection of Two Linked Lists,40.6%,Easy,0.0109944913986662, https://leetcode.com/problems/intersection-of-two-linked-lists
739,,Daily Temperatures,63.3%,Medium,0.0100326901218144, https://leetcode.com/problems/daily-temperatures
1,,Two Sum,45.6%,Easy,0.0100064140285959, https://leetcode.com/problems/two-sum
242,,Valid Anagram,56.9%,Easy,0.0093226281162749, https://leetcode.com/problems/valid-anagram
96,,Unique Binary Search Trees,52.9%,Medium,0.0092422099648208, https://leetcode.com/problems/unique-binary-search-trees
43,,Multiply Strings,33.9%,Medium,0.0091450111500627, https://leetcode.com/problems/multiply-strings
53,,Maximum Subarray,46.5%,Easy,0.0086402956796029, https://leetcode.com/problems/maximum-subarray
121,,Best Time to Buy and Sell Stock,50.5%,Easy,0.0084687956530031, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
253,,Meeting Rooms II,45.7%,Medium,0.0080792198705464, https://leetcode.com/problems/meeting-rooms-ii
240,,Search a 2D Matrix II,43.2%,Medium,0.0075829747244553, https://leetcode.com/problems/search-a-2d-matrix-ii
3,,Longest Substring Without Repeating Characters,30.4%,Medium,0.0062080671193743, https://leetcode.com/problems/longest-substring-without-repeating-characters
127,,Word Ladder,29.6%,Medium,0.005979091056058, https://leetcode.com/problems/word-ladder
91,,Decode Ways,24.7%,Medium,0.0059683853683491, https://leetcode.com/problems/decode-ways
167,,Two Sum II - Input array is sorted,54.1%,Easy,0.005507380022589, https://leetcode.com/problems/two-sum-ii-input-array-is-sorted
560,,Subarray Sum Equals K,43.9%,Medium,0.004279454482267, https://leetcode.com/problems/subarray-sum-equals-k
215,,Kth Largest Element in an Array,55.4%,Medium,0.0039024439769317, https://leetcode.com/problems/kth-largest-element-in-an-array
102,,Binary Tree Level Order Traversal,54.6%,Medium,0.003639014205004, https://leetcode.com/problems/binary-tree-level-order-traversal
15,,3Sum,26.8%,Medium,0.0021990113314367, https://leetcode.com/problems/3sum
