ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
289,,Game of Life,54.5%,Medium,1.9095955742703716, https://leetcode.com/problems/game-of-life
1086,,High Five,79.7%,Easy,1.8728225432316812, https://leetcode.com/problems/high-five
42,,Trapping Rain Water,48.9%,Hard,1.7465805642808123, https://leetcode.com/problems/trapping-rain-water
209,,Minimum Size Subarray Sum,38.2%,Medium,1.3987846835630129, https://leetcode.com/problems/minimum-size-subarray-sum
780,,Reaching Points,29.4%,Hard,1.0654848189471613, https://leetcode.com/problems/reaching-points
166,,Fraction to Recurring Decimal,21.6%,Medium,1.042800072024958, https://leetcode.com/problems/fraction-to-recurring-decimal
1041,,Robot Bounded In Circle,49.6%,Medium,0.695004191307158, https://leetcode.com/problems/robot-bounded-in-circle
387,,First Unique Character in a String,53.4%,Easy,0.632243999450364, https://leetcode.com/problems/first-unique-character-in-a-string
1163,,Last Substring in Lexicographical Order,33.9%,Hard,0.6115111972698513, https://leetcode.com/problems/last-substring-in-lexicographical-order
238,,Product of Array Except Self,60.1%,Medium,0.6032226884679701, https://leetcode.com/problems/product-of-array-except-self
4,,Median of Two Sorted Arrays,29.6%,Hard,0.5686741732514908, https://leetcode.com/problems/median-of-two-sorted-arrays
862,,Shortest Subarray with Sum at Least K,24.6%,Hard,0.4965766780244703, https://leetcode.com/problems/shortest-subarray-with-sum-at-least-k
443,,String Compression,41.3%,Easy,0.3532376707288169, https://leetcode.com/problems/string-compression
524,,Longest Word in Dictionary through Deleting,48.4%,Medium,0.3371083689581862, https://leetcode.com/problems/longest-word-in-dictionary-through-deleting
592,,Fraction Addition and Subtraction,49.0%,Medium,0.3242396681855785, https://leetcode.com/problems/fraction-addition-and-subtraction
49,,Group Anagrams,56.9%,Medium,0.2956303911813633, https://leetcode.com/problems/group-anagrams
64,,Minimum Path Sum,54.5%,Medium,0.2632621639158273, https://leetcode.com/problems/minimum-path-sum
532,,K-diff Pairs in an Array,31.6%,Easy,0.1571855835224123, https://leetcode.com/problems/k-diff-pairs-in-an-array
706,,Design HashMap,61.3%,Easy,0.1476880076475794, https://leetcode.com/problems/design-hashmap
688,,Knight Probability in Chessboard,48.9%,Medium,0.1446560539074798, https://leetcode.com/problems/knight-probability-in-chessboard
121,,Best Time to Buy and Sell Stock,50.5%,Easy,0.1429023796098553, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
54,,Spiral Matrix,34.1%,Medium,0.1257272849382123, https://leetcode.com/problems/spiral-matrix
657,,Robot Return to Origin,73.5%,Easy,0.1046980446167051, https://leetcode.com/problems/robot-return-to-origin
326,,Power of Three,42.1%,Easy,0.090264193323085, https://leetcode.com/problems/power-of-three
942,,DI String Match,72.6%,Easy,0.0849567224759654, https://leetcode.com/problems/di-string-match
939,,Minimum Area Rectangle,51.8%,Medium,0.0836141400411335, https://leetcode.com/problems/minimum-area-rectangle
887,,Super Egg Drop,27.1%,Hard,0.0805444098879659, https://leetcode.com/problems/super-egg-drop
8,,String to Integer (atoi),15.4%,Medium,0.0741283277662738, https://leetcode.com/problems/string-to-integer-atoi
547,,Friend Circles,58.6%,Medium,0.0740860006507603, https://leetcode.com/problems/friend-circles
1051,,Height Checker,71.1%,Easy,0.0696078303809568, https://leetcode.com/problems/height-checker
460,,LFU Cache,34.2%,Hard,0.0683637428093902, https://leetcode.com/problems/lfu-cache
33,,Search in Rotated Sorted Array,34.5%,Medium,0.0634561659486313, https://leetcode.com/problems/search-in-rotated-sorted-array
11,,Container With Most Water,50.8%,Medium,0.0603580075672612, https://leetcode.com/problems/container-with-most-water
