ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
202,,Happy Number,50.4%,Easy,2.788803446881718, https://leetcode.com/problems/happy-number
20,,Valid Parentheses,39.0%,Easy,1.5639916071962492, https://leetcode.com/problems/valid-parentheses
322,,Coin Change,35.5%,Medium,0.3391797675107801, https://leetcode.com/problems/coin-change
1328,,Break a Palindrome,43.3%,Medium,0.0591013922759133, https://leetcode.com/problems/break-a-palindrome
9,,Palindrome Number,48.4%,Easy,0.0365930911612296, https://leetcode.com/problems/palindrome-number
121,,Best Time to Buy and Sell Stock,50.5%,Easy,0.0334531795866865, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
273,,Integer to English Words,27.1%,Hard,0.026980053764546, https://leetcode.com/problems/integer-to-english-words
53,,Maximum Subarray,46.5%,Easy,0.019336728821707, https://leetcode.com/problems/maximum-subarray
7,,Reverse Integer,25.8%,Easy,0.0166277906084889, https://leetcode.com/problems/reverse-integer
31,,Next Permutation,32.6%,Medium,0.0134270255308886, https://leetcode.com/problems/next-permutation
200,,Number of Islands,46.8%,Medium,0.0115092624205908, https://leetcode.com/problems/number-of-islands
146,,LRU Cache,33.2%,Medium,0.0103211925402749, https://leetcode.com/problems/lru-cache
17,,Letter Combinations of a Phone Number,46.8%,Medium,0.009877165461676, https://leetcode.com/problems/letter-combinations-of-a-phone-number
349,,Intersection of Two Arrays,62.5%,Easy,0.0072503489623068, https://leetcode.com/problems/intersection-of-two-arrays
39,,Combination Sum,56.1%,Medium,0.0057159343964409, https://leetcode.com/problems/combination-sum
387,,First Unique Character in a String,53.4%,Easy,0.0041854199427069, https://leetcode.com/problems/first-unique-character-in-a-string
215,,Kth Largest Element in an Array,55.4%,Medium,0.0039024439769317, https://leetcode.com/problems/kth-largest-element-in-an-array
4,,Median of Two Sorted Arrays,29.6%,Hard,0.0039001609500947, https://leetcode.com/problems/median-of-two-sorted-arrays
1,,Two Sum,45.6%,Easy,0.0032784227380416, https://leetcode.com/problems/two-sum
33,,Search in Rotated Sorted Array,34.5%,Medium,0.0032299769683326, https://leetcode.com/problems/search-in-rotated-sorted-array
5,,Longest Palindromic Substring,29.5%,Medium,0.0022793331425074, https://leetcode.com/problems/longest-palindromic-substring
79,,Word Search,35.6%,Medium,0.0016647248725526, https://leetcode.com/problems/word-search
