ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
364,,Nested List Weight Sum II,62.8%,Medium,2.1923206790347614, https://leetcode.com/problems/nested-list-weight-sum-ii
244,,Shortest Word Distance II,52.3%,Medium,1.8985208007953611, https://leetcode.com/problems/shortest-word-distance-ii
272,,Closest Binary Search Tree Value II,50.5%,Hard,1.6047209225559615, https://leetcode.com/problems/closest-binary-search-tree-value-ii
716,,Max Stack,42.6%,Easy,1.5967072751794935, https://leetcode.com/problems/max-stack
254,,Factor Combinations,46.7%,Medium,1.4353364461874931, https://leetcode.com/problems/factor-combinations
366,,Find Leaves of Binary Tree,70.6%,Medium,1.223942529959876, https://leetcode.com/problems/find-leaves-of-binary-tree
605,,Can Place Flowers,31.6%,Easy,0.9524451336942912, https://leetcode.com/problems/can-place-flowers
339,,Nested List Weight Sum,74.0%,Easy,0.8196573629915603, https://leetcode.com/problems/nested-list-weight-sum
156,,Binary Tree Upside Down,55.0%,Medium,0.8187244879431477, https://leetcode.com/problems/binary-tree-upside-down
243,,Shortest Word Distance,61.0%,Easy,0.8149687609079993, https://leetcode.com/problems/shortest-word-distance
432,,All O`one Data Structure,32.4%,Hard,0.7611889165572873, https://leetcode.com/problems/all-oone-data-structure
256,,Paint House,52.1%,Easy,0.4962622595780941, https://leetcode.com/problems/paint-house
150,,Evaluate Reverse Polish Notation,36.3%,Medium,0.4708929134306197, https://leetcode.com/problems/evaluate-reverse-polish-notation
380,,Insert Delete GetRandom O(1),47.5%,Medium,0.4415683628848016, https://leetcode.com/problems/insert-delete-getrandom-o1
149,,Max Points on a Line,16.9%,Hard,0.4117347211217598, https://leetcode.com/problems/max-points-on-a-line
297,,Serialize and Deserialize Binary Tree,47.5%,Hard,0.3746934494414107, https://leetcode.com/problems/serialize-and-deserialize-binary-tree
698,,Partition to K Equal Sum Subsets,45.0%,Medium,0.3589112475170129, https://leetcode.com/problems/partition-to-k-equal-sum-subsets
373,,Find K Pairs with Smallest Sums,36.7%,Medium,0.3547436057206025, https://leetcode.com/problems/find-k-pairs-with-smallest-sums
671,,Second Minimum Node In a Binary Tree,42.7%,Easy,0.3132532267195692, https://leetcode.com/problems/second-minimum-node-in-a-binary-tree
68,,Text Justification,27.7%,Hard,0.295187125568808, https://leetcode.com/problems/text-justification
730,,Count Different Palindromic Subsequences,41.8%,Hard,0.2744368457017603, https://leetcode.com/problems/count-different-palindromic-subsequences
1117,,Building H2O,52.6%,Medium,0.2678623801635787, https://leetcode.com/problems/building-h2o
1188,,Design Bounded Blocking Queue,70.5%,Medium,0.2330072808365499, https://leetcode.com/problems/design-bounded-blocking-queue
265,,Paint House II,44.6%,Hard,0.2300164306019718, https://leetcode.com/problems/paint-house-ii
261,,Graph Valid Tree,42.2%,Medium,0.2106835071594726, https://leetcode.com/problems/graph-valid-tree
470,,Implement Rand10() Using Rand7(),46.3%,Medium,0.1515498981272009, https://leetcode.com/problems/implement-rand10-using-rand7
57,,Insert Interval,33.5%,Hard,0.1499443262943478, https://leetcode.com/problems/insert-interval
53,,Maximum Subarray,46.5%,Easy,0.1456070110599502, https://leetcode.com/problems/maximum-subarray
76,,Minimum Window Substring,34.6%,Hard,0.1452031277860906, https://leetcode.com/problems/minimum-window-substring
152,,Maximum Product Subarray,31.7%,Medium,0.1311634897422013, https://leetcode.com/problems/maximum-product-subarray
739,,Daily Temperatures,63.3%,Medium,0.1164657524322256, https://leetcode.com/problems/daily-temperatures
277,,Find the Celebrity,41.8%,Medium,0.1138399121279475, https://leetcode.com/problems/find-the-celebrity
721,,Accounts Merge,48.8%,Medium,0.1125793919917445, https://leetcode.com/problems/accounts-merge
215,,Kth Largest Element in an Array,55.4%,Medium,0.1117914059881167, https://leetcode.com/problems/kth-largest-element-in-an-array
611,,Valid Triangle Number,48.4%,Medium,0.0933319397922191, https://leetcode.com/problems/valid-triangle-number
381,,Insert Delete GetRandom O(1) - Duplicates allowed,34.1%,Hard,0.0910638889228737, https://leetcode.com/problems/insert-delete-getrandom-o1-duplicates-allowed
65,,Valid Number,15.3%,Hard,0.0884554205618634, https://leetcode.com/problems/valid-number
449,,Serialize and Deserialize BST,52.0%,Medium,0.0869640542723505, https://leetcode.com/problems/serialize-and-deserialize-bst
273,,Integer to English Words,27.1%,Hard,0.0732177031685638, https://leetcode.com/problems/integer-to-english-words
1042,,Flower Planting With No Adjacent,48.5%,Easy,0.0724955020381535, https://leetcode.com/problems/flower-planting-with-no-adjacent
235,,Lowest Common Ancestor of a Binary Search Tree,49.9%,Easy,0.0716296561392547, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree
127,,Word Ladder,29.6%,Medium,0.0708901210450219, https://leetcode.com/problems/word-ladder
170,,Two Sum III - Data structure design,33.5%,Easy,0.0688740290125112, https://leetcode.com/problems/two-sum-iii-data-structure-design
56,,Merge Intervals,39.3%,Medium,0.0680763502586962, https://leetcode.com/problems/merge-intervals
72,,Edit Distance,44.8%,Hard,0.0610242991193446, https://leetcode.com/problems/edit-distance
464,,Can I Win,28.8%,Medium,0.0605328492288423, https://leetcode.com/problems/can-i-win
61,,Rotate List,30.0%,Medium,0.0604779189628012, https://leetcode.com/problems/rotate-list
12,,Integer to Roman,55.1%,Medium,0.0521712293696912, https://leetcode.com/problems/integer-to-roman
34,,Find First and Last Position of Element in Sorted Array,36.2%,Medium,0.0508302735140679, https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
33,,Search in Rotated Sorted Array,34.5%,Medium,0.050467978171789, https://leetcode.com/problems/search-in-rotated-sorted-array
46,,Permutations,63.5%,Medium,0.050463754259193, https://leetcode.com/problems/permutations
636,,Exclusive Time of Functions,51.9%,Medium,0.0466889773654629, https://leetcode.com/problems/exclusive-time-of-functions
341,,Flatten Nested List Iterator,52.9%,Medium,0.0444078884894403, https://leetcode.com/problems/flatten-nested-list-iterator
102,,Binary Tree Level Order Traversal,54.6%,Medium,0.0436906430541889, https://leetcode.com/problems/binary-tree-level-order-traversal
13,,Roman to Integer,55.7%,Easy,0.0412134686313029, https://leetcode.com/problems/roman-to-integer
101,,Symmetric Tree,46.8%,Easy,0.0409413903773607, https://leetcode.com/problems/symmetric-tree
88,,Merge Sorted Array,39.4%,Easy,0.0362653520190164, https://leetcode.com/problems/merge-sorted-array
20,,Valid Parentheses,39.0%,Easy,0.0361887174223911, https://leetcode.com/problems/valid-parentheses
367,,Valid Perfect Square,41.7%,Easy,0.0334230887914953, https://leetcode.com/problems/valid-perfect-square
460,,LFU Cache,34.2%,Hard,0.0309622256039668, https://leetcode.com/problems/lfu-cache
75,,Sort Colors,47.3%,Medium,0.0308019915703732, https://leetcode.com/problems/sort-colors
796,,Rotate String,49.6%,Easy,0.0270104198827624, https://leetcode.com/problems/rotate-string
205,,Isomorphic Strings,39.8%,Easy,0.0257893948829141, https://leetcode.com/problems/isomorphic-strings
47,,Permutations II,46.4%,Medium,0.0216354592958782, https://leetcode.com/problems/permutations-ii
236,,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.0187249473323248, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
706,,Design HashMap,61.3%,Easy,0.0175289326057621, https://leetcode.com/problems/design-hashmap
50,,Pow(x;n),30.3%,Medium,0.0170367794970251, https://leetcode.com/problems/powx-n
349,,Intersection of Two Arrays,62.5%,Easy,0.0162399815984884, https://leetcode.com/problems/intersection-of-two-arrays
350,,Intersection of Two Arrays II,51.4%,Easy,0.011685409518779, https://leetcode.com/problems/intersection-of-two-arrays-ii
987,,Vertical Order Traversal of a Binary Tree,36.6%,Medium,0.011601058182762, https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree
69,,Sqrt(x),33.9%,Easy,0.0114432272223427, https://leetcode.com/problems/sqrtx
785,,Is Graph Bipartite?,47.5%,Medium,0.0112360732669258, https://leetcode.com/problems/is-graph-bipartite
40,,Combination Sum II,48.2%,Medium,0.0095786172970697, https://leetcode.com/problems/combination-sum-ii
173,,Binary Search Tree Iterator,56.6%,Medium,0.0084890153249113, https://leetcode.com/problems/binary-search-tree-iterator
200,,Number of Islands,46.8%,Medium,0.0064902513827793, https://leetcode.com/problems/number-of-islands
973,,K Closest Points to Origin,63.8%,Medium,0.0057736880944263, https://leetcode.com/problems/k-closest-points-to-origin
39,,Combination Sum,56.1%,Medium,0.0057159343964409, https://leetcode.com/problems/combination-sum
21,,Merge Two Sorted Lists,53.5%,Easy,0.005067007800877, https://leetcode.com/problems/merge-two-sorted-lists
207,,Course Schedule,43.1%,Medium,0.0049640211142117, https://leetcode.com/problems/course-schedule
160,,Intersection of Two Linked Lists,40.6%,Easy,0.0049013699397204, https://leetcode.com/problems/intersection-of-two-linked-lists
146,,LRU Cache,33.2%,Medium,0.0046003531390613, https://leetcode.com/problems/lru-cache
387,,First Unique Character in a String,53.4%,Easy,0.0041854199427069, https://leetcode.com/problems/first-unique-character-in-a-string
23,,Merge k Sorted Lists,40.2%,Hard,0.004051459000748, https://leetcode.com/problems/merge-k-sorted-lists
