ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
735,,Asteroid Collision,41.0%,Medium,2.8217088979664124, https://leetcode.com/problems/asteroid-collision
716,,Max Stack,42.6%,Easy,2.0561349637374544, https://leetcode.com/problems/max-stack
238,,Product of Array Except Self,60.1%,Medium,1.9880213444075543, https://leetcode.com/problems/product-of-array-except-self
158,,Read N Characters Given Read4 II - Call multiple times,33.8%,Hard,1.2224474101785965, https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times
981,,Time Based Key-Value Store,53.1%,Medium,1.1090620945258824, https://leetcode.com/problems/time-based-key-value-store
642,,Design Search Autocomplete System,44.7%,Hard,0.9534648850908104, https://leetcode.com/problems/design-search-autocomplete-system
365,,Water and Jug Problem,30.6%,Medium,0.8801037398580485, https://leetcode.com/problems/water-and-jug-problem
127,,Word Ladder,29.6%,Medium,0.4325804000994867, https://leetcode.com/problems/word-ladder
42,,Trapping Rain Water,48.9%,Hard,0.3618717940435209, https://leetcode.com/problems/trapping-rain-water
200,,Number of Islands,46.8%,Medium,0.3002278451426276, https://leetcode.com/problems/number-of-islands
349,,Intersection of Two Arrays,62.5%,Easy,0.2326669155246409, https://leetcode.com/problems/intersection-of-two-arrays
251,,Flatten 2D Vector,45.7%,Medium,0.1435581432942354, https://leetcode.com/problems/flatten-2d-vector
426,,Convert Binary Search Tree to Sorted Doubly Linked List,59.1%,Medium,0.1425287846212726, https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list
279,,Perfect Squares,47.4%,Medium,0.1381503384808171, https://leetcode.com/problems/perfect-squares
333,,Largest BST Subtree,35.8%,Medium,0.1313840028291084, https://leetcode.com/problems/largest-bst-subtree
304,,Range Sum Query 2D - Immutable,38.6%,Medium,0.1187555145816091, https://leetcode.com/problems/range-sum-query-2d-immutable
652,,Find Duplicate Subtrees,50.2%,Medium,0.0890796300536887, https://leetcode.com/problems/find-duplicate-subtrees
109,,Convert Sorted List to Binary Search Tree,47.7%,Medium,0.0870113769896297, https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree
76,,Minimum Window Substring,34.6%,Hard,0.0737842084537355, https://leetcode.com/problems/minimum-window-substring
91,,Decode Ways,24.7%,Medium,0.0707672118083216, https://leetcode.com/problems/decode-ways
68,,Text Justification,27.7%,Hard,0.0611603618716958, https://leetcode.com/problems/text-justification
10,,Regular Expression Matching,26.8%,Hard,0.0440910772648496, https://leetcode.com/problems/regular-expression-matching
22,,Generate Parentheses,62.7%,Medium,0.0385817247510386, https://leetcode.com/problems/generate-parentheses
694,,Number of Distinct Islands,56.0%,Medium,0.0327898228229908, https://leetcode.com/problems/number-of-distinct-islands
17,,Letter Combinations of a Phone Number,46.8%,Medium,0.0271992398043688, https://leetcode.com/problems/letter-combinations-of-a-phone-number
442,,Find All Duplicates in an Array,67.8%,Medium,0.0260808755527924, https://leetcode.com/problems/find-all-duplicates-in-an-array
23,,Merge k Sorted Lists,40.2%,Hard,0.0250564321052577, https://leetcode.com/problems/merge-k-sorted-lists
20,,Valid Parentheses,39.0%,Easy,0.0205170472666699, https://leetcode.com/problems/valid-parentheses
48,,Rotate Image,56.7%,Medium,0.0202282497754715, https://leetcode.com/problems/rotate-image
341,,Flatten Nested List Iterator,52.9%,Medium,0.0199806846904834, https://leetcode.com/problems/flatten-nested-list-iterator
146,,LRU Cache,33.2%,Medium,0.0182757799387368, https://leetcode.com/problems/lru-cache
253,,Meeting Rooms II,45.7%,Medium,0.0180873098105793, https://leetcode.com/problems/meeting-rooms-ii
126,,Word Ladder II,22.1%,Hard,0.0179941877178651, https://leetcode.com/problems/word-ladder-ii
239,,Sliding Window Maximum,43.0%,Hard,0.0176856643462755, https://leetcode.com/problems/sliding-window-maximum
1060,,Missing Element in Sorted Array,54.5%,Medium,0.0174296351352836, https://leetcode.com/problems/missing-element-in-sorted-array
7,,Reverse Integer,25.8%,Easy,0.0166277906084889, https://leetcode.com/problems/reverse-integer
567,,Permutation in String,44.4%,Medium,0.0149479614358731, https://leetcode.com/problems/permutation-in-string
162,,Find Peak Element,43.3%,Medium,0.0142317392572563, https://leetcode.com/problems/find-peak-element
88,,Merge Sorted Array,39.4%,Easy,0.0119869580329825, https://leetcode.com/problems/merge-sorted-array
69,,Sqrt(x),33.9%,Easy,0.0114432272223427, https://leetcode.com/problems/sqrtx
78,,Subsets,62.0%,Medium,0.0082781929693712, https://leetcode.com/problems/subsets
11,,Container With Most Water,50.8%,Medium,0.0068891883004121, https://leetcode.com/problems/container-with-most-water
24,,Swap Nodes in Pairs,50.4%,Medium,0.0062218275061505, https://leetcode.com/problems/swap-nodes-in-pairs
155,,Min Stack,44.5%,Easy,0.0047489107412817, https://leetcode.com/problems/min-stack
283,,Move Zeroes,57.8%,Easy,0.0028853803470673, https://leetcode.com/problems/move-zeroes
21,,Merge Two Sorted Lists,53.5%,Easy,0.0022551737583973, https://leetcode.com/problems/merge-two-sorted-lists
121,,Best Time to Buy and Sell Stock,50.5%,Easy,0.0021239321954525, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
2,,Add Two Numbers,33.9%,Medium,0.001688619111144, https://leetcode.com/problems/add-two-numbers
79,,Word Search,35.6%,Medium,0.0016647248725526, https://leetcode.com/problems/word-search
1,,Two Sum,45.6%,Easy,0.0008206138651873, https://leetcode.com/problems/two-sum
