ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
735,,Asteroid Collision,41.0%,Medium,3.4954470610602737, https://leetcode.com/problems/asteroid-collision
238,,Product of Array Except Self,60.1%,Medium,2.884562524157785, https://leetcode.com/problems/product-of-array-except-self
716,,Max Stack,42.6%,Easy,2.664361506099879, https://leetcode.com/problems/max-stack
158,,Read N Characters Given Read4 II - Call multiple times,33.8%,Hard,2.05347696919739, https://leetcode.com/problems/read-n-characters-given-read4-ii-call-multiple-times
642,,Design Search Autocomplete System,44.7%,Hard,1.7721893730339575, https://leetcode.com/problems/design-search-autocomplete-system
981,,Time Based Key-Value Store,53.1%,Medium,1.4448976756888186, https://leetcode.com/problems/time-based-key-value-store
365,,Water and Jug Problem,30.6%,Medium,1.372259043003507, https://leetcode.com/problems/water-and-jug-problem
200,,Number of Islands,46.8%,Medium,1.3061913612704517, https://leetcode.com/problems/number-of-islands
42,,Trapping Rain Water,48.9%,Hard,1.1347229625176425, https://leetcode.com/problems/trapping-rain-water
127,,Word Ladder,29.6%,Medium,0.5839478885949534, https://leetcode.com/problems/word-ladder
349,,Intersection of Two Arrays,62.5%,Easy,0.5467734703822922, https://leetcode.com/problems/intersection-of-two-arrays
68,,Text Justification,27.7%,Hard,0.4495613440132932, https://leetcode.com/problems/text-justification
126,,Word Ladder II,22.1%,Hard,0.374267802806815, https://leetcode.com/problems/word-ladder-ii
426,,Convert Binary Search Tree to Sorted Doubly Linked List,59.1%,Medium,0.3308542443169896, https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list
91,,Decode Ways,24.7%,Medium,0.3243409685135098, https://leetcode.com/problems/decode-ways
146,,LRU Cache,33.2%,Medium,0.2585885798043696, https://leetcode.com/problems/lru-cache
279,,Perfect Squares,47.4%,Medium,0.2469324132782245, https://leetcode.com/problems/perfect-squares
251,,Flatten 2D Vector,45.7%,Medium,0.2425088583672668, https://leetcode.com/problems/flatten-2d-vector
17,,Letter Combinations of a Phone Number,46.8%,Medium,0.2216645713198854, https://leetcode.com/problems/letter-combinations-of-a-phone-number
304,,Range Sum Query 2D - Immutable,38.6%,Medium,0.2022615325778, https://leetcode.com/problems/range-sum-query-2d-immutable
155,,Min Stack,44.5%,Easy,0.1581717577009931, https://leetcode.com/problems/min-stack
652,,Find Duplicate Subtrees,50.2%,Medium,0.1532629744871177, https://leetcode.com/problems/find-duplicate-subtrees
76,,Minimum Window Substring,34.6%,Hard,0.1452031277860906, https://leetcode.com/problems/minimum-window-substring
333,,Largest BST Subtree,35.8%,Medium,0.1313840028291084, https://leetcode.com/problems/largest-bst-subtree
109,,Convert Sorted List to Binary Search Tree,47.7%,Medium,0.1230218145126628, https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree
341,,Flatten Nested List Iterator,52.9%,Medium,0.1187916086112682, https://leetcode.com/problems/flatten-nested-list-iterator
10,,Regular Expression Matching,26.8%,Hard,0.1092117270692915, https://leetcode.com/problems/regular-expression-matching
11,,Container With Most Water,50.8%,Medium,0.0740037234711387, https://leetcode.com/problems/container-with-most-water
632,,Smallest Range Covering Elements from K Lists,52.4%,Hard,0.0708260525686124, https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists
