ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
1239,,Maximum Length of a Concatenated String with Unique Characters,47.8%,Medium,0.6657761816190897, https://leetcode.com/problems/maximum-length-of-a-concatenated-string-with-unique-characters
1246,,Palindrome Removal,46.0%,Hard,0.5941286921253983, https://leetcode.com/problems/palindrome-removal
273,,Integer to English Words,27.1%,Hard,0.5224812026317068, https://leetcode.com/problems/integer-to-english-words
428,,Serialize and Deserialize N-ary Tree,59.4%,Hard,0.4508337131380154, https://leetcode.com/problems/serialize-and-deserialize-n-ary-tree
146,,LRU Cache,33.2%,Medium,0.3791862236443239, https://leetcode.com/problems/lru-cache
1156,,Swap For Longest Repeated Character Substring,49.0%,Medium,0.3764775712349121, https://leetcode.com/problems/swap-for-longest-repeated-character-substring
54,,Spiral Matrix,34.1%,Medium,0.3530627380591415, https://leetcode.com/problems/spiral-matrix
212,,Word Search II,34.9%,Hard,0.3492519632676119, https://leetcode.com/problems/word-search-ii
1236,,Web Crawler,64.3%,Medium,0.3364722366212129, https://leetcode.com/problems/web-crawler
545,,Boundary of Binary Tree,38.9%,Medium,0.3236515481921515, https://leetcode.com/problems/boundary-of-binary-tree
828,,Count Unique Characters of All Substrings of a Given String,45.2%,Hard,0.2972515234679316, https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string
200,,Number of Islands,46.8%,Medium,0.2320460719731161, https://leetcode.com/problems/number-of-islands
340,,Longest Substring with At Most K Distinct Characters,44.1%,Hard,0.2311568687093931, https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters
25,,Reverse Nodes in k-Group,42.1%,Hard,0.2284157463636081, https://leetcode.com/problems/reverse-nodes-in-k-group
218,,The Skyline Problem,34.6%,Hard,0.2088483111273832, https://leetcode.com/problems/the-skyline-problem
348,,Design Tic-Tac-Toe,54.3%,Medium,0.1993329026204912, https://leetcode.com/problems/design-tic-tac-toe
468,,Validate IP Address,24.1%,Medium,0.1982754847361962, https://leetcode.com/problems/validate-ip-address
1375,,Bulb Switcher III,62.6%,Medium,0.1962262437017271, https://leetcode.com/problems/bulb-switcher-iii
23,,Merge k Sorted Lists,40.2%,Hard,0.1814246426260453, https://leetcode.com/problems/merge-k-sorted-lists
138,,Copy List with Random Pointer,36.4%,Medium,0.1721525506849611, https://leetcode.com/problems/copy-list-with-random-pointer
179,,Largest Number,28.8%,Medium,0.1578834202569422, https://leetcode.com/problems/largest-number
450,,Delete Node in a BST,43.1%,Medium,0.1556195991005324, https://leetcode.com/problems/delete-node-in-a-bst
124,,Binary Tree Maximum Path Sum,34.3%,Hard,0.1551209481132326, https://leetcode.com/problems/binary-tree-maximum-path-sum
767,,Reorganize String,48.7%,Medium,0.1518531486615204, https://leetcode.com/problems/reorganize-string
1,,Two Sum,45.6%,Easy,0.1492010186078175, https://leetcode.com/problems/two-sum
41,,First Missing Positive,32.0%,Hard,0.1491073170352717, https://leetcode.com/problems/first-missing-positive
74,,Search a 2D Matrix,36.5%,Medium,0.1399047514294954, https://leetcode.com/problems/search-a-2d-matrix
99,,Recover Binary Search Tree,39.7%,Hard,0.1363765523041528, https://leetcode.com/problems/recover-binary-search-tree
42,,Trapping Rain Water,48.9%,Hard,0.1238927637867539, https://leetcode.com/problems/trapping-rain-water
46,,Permutations,63.5%,Medium,0.1202798280494111, https://leetcode.com/problems/permutations
93,,Restore IP Addresses,35.6%,Medium,0.1175612323949661, https://leetcode.com/problems/restore-ip-addresses
116,,Populating Next Right Pointers in Each Node,45.2%,Medium,0.1113806498369338, https://leetcode.com/problems/populating-next-right-pointers-in-each-node
1188,,Design Bounded Blocking Queue,70.5%,Medium,0.110304542014706, https://leetcode.com/problems/design-bounded-blocking-queue
37,,Sudoku Solver,43.6%,Hard,0.1087554815281622, https://leetcode.com/problems/sudoku-solver
445,,Add Two Numbers II,54.5%,Medium,0.1058566704683021, https://leetcode.com/problems/add-two-numbers-ii
773,,Sliding Puzzle,59.3%,Hard,0.1029479692524423, https://leetcode.com/problems/sliding-puzzle
232,,Implement Queue using Stacks,49.6%,Easy,0.0969020053477755, https://leetcode.com/problems/implement-queue-using-stacks
716,,Max Stack,42.6%,Easy,0.0936234204620974, https://leetcode.com/problems/max-stack
4,,Median of Two Sorted Arrays,29.6%,Hard,0.0932119909444548, https://leetcode.com/problems/median-of-two-sorted-arrays
510,,Inorder Successor in BST II,58.0%,Medium,0.0924445325220012, https://leetcode.com/problems/inorder-successor-in-bst-ii
155,,Min Stack,44.5%,Easy,0.0920267451807138, https://leetcode.com/problems/min-stack
127,,Word Ladder,29.6%,Medium,0.0916234138341547, https://leetcode.com/problems/word-ladder
1116,,Print Zero Even Odd,56.0%,Medium,0.0893451003358499, https://leetcode.com/problems/print-zero-even-odd
240,,Search a 2D Matrix II,43.2%,Medium,0.0891499069718045, https://leetcode.com/problems/search-a-2d-matrix-ii
358,,Rearrange String k Distance Apart,34.9%,Hard,0.0889474860164961, https://leetcode.com/problems/rearrange-string-k-distance-apart
102,,Binary Tree Level Order Traversal,54.6%,Medium,0.0872240169150957, https://leetcode.com/problems/binary-tree-level-order-traversal
622,,Design Circular Queue,43.8%,Medium,0.0869640542723505, https://leetcode.com/problems/design-circular-queue
105,,Construct Binary Tree from Preorder and Inorder Traversal,48.8%,Medium,0.0864585691233278, https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
297,,Serialize and Deserialize Binary Tree,47.5%,Hard,0.0834242216674795, https://leetcode.com/problems/serialize-and-deserialize-binary-tree
134,,Gas Station,38.5%,Medium,0.0816913832187163, https://leetcode.com/problems/gas-station
636,,Exclusive Time of Functions,51.9%,Medium,0.0815530661604696, https://leetcode.com/problems/exclusive-time-of-functions
89,,Gray Code,49.1%,Medium,0.0811255448123684, https://leetcode.com/problems/gray-code
85,,Maximal Rectangle,37.7%,Hard,0.0805588367172521, https://leetcode.com/problems/maximal-rectangle
695,,Max Area of Island,62.7%,Medium,0.0767718778285167, https://leetcode.com/problems/max-area-of-island
1079,,Letter Tile Possibilities,75.4%,Medium,0.0735024619929265, https://leetcode.com/problems/letter-tile-possibilities
98,,Validate Binary Search Tree,27.8%,Medium,0.0711132633757595, https://leetcode.com/problems/validate-binary-search-tree
133,,Clone Graph,34.8%,Medium,0.0709517359722844, https://leetcode.com/problems/clone-graph
126,,Word Ladder II,22.1%,Hard,0.0701119303845647, https://leetcode.com/problems/word-ladder-ii
432,,All O`one Data Structure,32.4%,Hard,0.0688740290125112, https://leetcode.com/problems/all-oone-data-structure
460,,LFU Cache,34.2%,Hard,0.0683637428093902, https://leetcode.com/problems/lfu-cache
706,,Design HashMap,61.3%,Easy,0.0683442674369718, https://leetcode.com/problems/design-hashmap
277,,Find the Celebrity,41.8%,Medium,0.0656212053584729, https://leetcode.com/problems/find-the-celebrity
419,,Battleships in a Board,70.0%,Medium,0.0655733770556936, https://leetcode.com/problems/battleships-in-a-board
702,,Search in a Sorted Array of Unknown Size,66.9%,Medium,0.0636144489941929, https://leetcode.com/problems/search-in-a-sorted-array-of-unknown-size
1044,,Longest Duplicate Substring,31.9%,Hard,0.0623254631978287, https://leetcode.com/problems/longest-duplicate-substring
380,,Insert Delete GetRandom O(1),47.5%,Medium,0.059855106210291, https://leetcode.com/problems/insert-delete-getrandom-o1
75,,Sort Colors,47.3%,Medium,0.0595052297061465, https://leetcode.com/problems/sort-colors
49,,Group Anagrams,56.9%,Medium,0.0591943474367346, https://leetcode.com/problems/group-anagrams
207,,Course Schedule,43.1%,Medium,0.0591745713964793, https://leetcode.com/problems/course-schedule
8,,String to Integer (atoi),15.4%,Medium,0.0590196151944673, https://leetcode.com/problems/string-to-integer-atoi
630,,Course Schedule III,33.5%,Hard,0.0585819016248023, https://leetcode.com/problems/course-schedule-iii
457,,Circular Array Loop,29.4%,Medium,0.058155920157074, https://leetcode.com/problems/circular-array-loop
950,,Reveal Cards In Increasing Order,74.6%,Medium,0.05659218531117, https://leetcode.com/problems/reveal-cards-in-increasing-order
236,,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.0562720199275764, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
315,,Count of Smaller Numbers After Self,41.5%,Hard,0.0562143069049599, https://leetcode.com/problems/count-of-smaller-numbers-after-self
43,,Multiply Strings,33.9%,Medium,0.0558305280472805, https://leetcode.com/problems/multiply-strings
149,,Max Points on a Line,16.9%,Hard,0.0550597771830274, https://leetcode.com/problems/max-points-on-a-line
295,,Find Median from Data Stream,44.3%,Hard,0.0549588842807574, https://leetcode.com/problems/find-median-from-data-stream
24,,Swap Nodes in Pairs,50.4%,Medium,0.0546501130043807, https://leetcode.com/problems/swap-nodes-in-pairs
443,,String Compression,41.3%,Easy,0.0545094056683716, https://leetcode.com/problems/string-compression
56,,Merge Intervals,39.3%,Medium,0.0541679202125642, https://leetcode.com/problems/merge-intervals
1229,,Meeting Scheduler,52.7%,Medium,0.0535603238337368, https://leetcode.com/problems/meeting-scheduler
679,,24 Game,46.4%,Hard,0.0534172374969858, https://leetcode.com/problems/24-game
186,,Reverse Words in a String II,43.3%,Medium,0.0506437328187549, https://leetcode.com/problems/reverse-words-in-a-string-ii
681,,Next Closest Time,45.0%,Medium,0.0504520609603886, https://leetcode.com/problems/next-closest-time
129,,Sum Root to Leaf Numbers,49.1%,Medium,0.0500104205746613, https://leetcode.com/problems/sum-root-to-leaf-numbers
253,,Meeting Rooms II,45.7%,Medium,0.0494562805906621, https://leetcode.com/problems/meeting-rooms-ii
759,,Employee Free Time,66.3%,Hard,0.0486122440550937, https://leetcode.com/problems/employee-free-time
845,,Longest Mountain in Array,37.2%,Medium,0.0474584904063581, https://leetcode.com/problems/longest-mountain-in-array
556,,Next Greater Element III,31.7%,Medium,0.0467921615067589, https://leetcode.com/problems/next-greater-element-iii
224,,Basic Calculator,36.8%,Hard,0.0465681654772114, https://leetcode.com/problems/basic-calculator
69,,Sqrt(x),33.9%,Easy,0.0450075960574359, https://leetcode.com/problems/sqrtx
36,,Valid Sudoku,48.7%,Medium,0.0445230228887641, https://leetcode.com/problems/valid-sudoku
10,,Regular Expression Matching,26.8%,Hard,0.0440910772648496, https://leetcode.com/problems/regular-expression-matching
148,,Sort List,42.3%,Medium,0.0440842731320193, https://leetcode.com/problems/sort-list
171,,Excel Sheet Column Number,55.9%,Easy,0.0440478581560529, https://leetcode.com/problems/excel-sheet-column-number
160,,Intersection of Two Linked Lists,40.6%,Easy,0.0432707810433811, https://leetcode.com/problems/intersection-of-two-linked-lists
53,,Maximum Subarray,46.5%,Easy,0.0429934068559204, https://leetcode.com/problems/maximum-subarray
727,,Minimum Window Subsequence,41.8%,Hard,0.0423792229688614, https://leetcode.com/problems/minimum-window-subsequence
844,,Backspace String Compare,46.4%,Easy,0.0414997309067527, https://leetcode.com/problems/backspace-string-compare
907,,Sum of Subarray Minimums,32.3%,Medium,0.0406973761638099, https://leetcode.com/problems/sum-of-subarray-minimums
722,,Remove Comments,34.6%,Medium,0.0404913613547369, https://leetcode.com/problems/remove-comments
346,,Moving Average from Data Stream,70.9%,Easy,0.0393235462039143, https://leetcode.com/problems/moving-average-from-data-stream
17,,Letter Combinations of a Phone Number,46.8%,Medium,0.0389364637500942, https://leetcode.com/problems/letter-combinations-of-a-phone-number
33,,Search in Rotated Sorted Array,34.5%,Medium,0.0388660226792245, https://leetcode.com/problems/search-in-rotated-sorted-array
168,,Excel Sheet Column Title,31.1%,Easy,0.0386148361277795, https://leetcode.com/problems/excel-sheet-column-title
1381,,Design a Stack With Increment Operation,74.7%,Medium,0.0383556123903214, https://leetcode.com/problems/design-a-stack-with-increment-operation
317,,Shortest Distance from All Buildings,41.4%,Hard,0.0379552200004355, https://leetcode.com/problems/shortest-distance-from-all-buildings
206,,Reverse Linked List,62.5%,Easy,0.0367963328605815, https://leetcode.com/problems/reverse-linked-list
934,,Shortest Bridge,48.2%,Medium,0.0360724412167015, https://leetcode.com/problems/shortest-bridge
208,,Implement Trie (Prefix Tree),49.4%,Medium,0.0359346995279286, https://leetcode.com/problems/implement-trie-prefix-tree
128,,Longest Consecutive Sequence,45.1%,Hard,0.0357260588647216, https://leetcode.com/problems/longest-consecutive-sequence
189,,Rotate Array,34.7%,Easy,0.0356968299720654, https://leetcode.com/problems/rotate-array
21,,Merge Two Sorted Lists,53.5%,Easy,0.0354863425302128, https://leetcode.com/problems/merge-two-sorted-lists
1304,,Find N Unique Integers Sum up to Zero,76.3%,Easy,0.0354088919062559, https://leetcode.com/problems/find-n-unique-integers-sum-up-to-zero
59,,Spiral Matrix II,53.9%,Medium,0.0351873674509732, https://leetcode.com/problems/spiral-matrix-ii
238,,Product of Array Except Self,60.1%,Medium,0.0348298725805272, https://leetcode.com/problems/product-of-array-except-self
103,,Binary Tree Zigzag Level Order Traversal,48.3%,Medium,0.0340397601098929, https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal
567,,Permutation in String,44.4%,Medium,0.0333240757315918, https://leetcode.com/problems/permutation-in-string
79,,Word Search,35.6%,Medium,0.0331820882143618, https://leetcode.com/problems/word-search
528,,Random Pick with Weight,43.9%,Medium,0.0330669362665733, https://leetcode.com/problems/random-pick-with-weight
239,,Sliding Window Maximum,43.0%,Hard,0.0312281425475857, https://leetcode.com/problems/sliding-window-maximum
703,,Kth Largest Element in a Stream,49.7%,Easy,0.0310048948194145, https://leetcode.com/problems/kth-largest-element-in-a-stream
38,,Count and Say,44.6%,Easy,0.0309562346634671, https://leetcode.com/problems/count-and-say
557,,Reverse Words in a String III,69.8%,Easy,0.0306354795386134, https://leetcode.com/problems/reverse-words-in-a-string-iii
44,,Wildcard Matching,24.7%,Hard,0.0305730333622823, https://leetcode.com/problems/wildcard-matching
680,,Valid Palindrome II,36.6%,Easy,0.0288412203904394, https://leetcode.com/problems/valid-palindrome-ii
269,,Alien Dictionary,33.3%,Hard,0.0284199739912749, https://leetcode.com/problems/alien-dictionary
77,,Combinations,54.7%,Medium,0.0280217587375936, https://leetcode.com/problems/combinations
20,,Valid Parentheses,39.0%,Easy,0.0278237344500103, https://leetcode.com/problems/valid-parentheses
227,,Basic Calculator II,36.9%,Medium,0.027685557859864, https://leetcode.com/problems/basic-calculator-ii
5,,Longest Palindromic Substring,29.5%,Medium,0.0275701045042675, https://leetcode.com/problems/longest-palindromic-substring
159,,Longest Substring with At Most Two Distinct Characters,49.4%,Medium,0.0271755853789647, https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters
22,,Generate Parentheses,62.7%,Medium,0.0269499979644966, https://leetcode.com/problems/generate-parentheses
2,,Add Two Numbers,33.9%,Medium,0.0266815894586611, https://leetcode.com/problems/add-two-numbers
417,,Pacific Atlantic Water Flow,41.1%,Medium,0.0259754864032606, https://leetcode.com/problems/pacific-atlantic-water-flow
987,,Vertical Order Traversal of a Binary Tree,36.6%,Medium,0.025915645579833, https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree
205,,Isomorphic Strings,39.8%,Easy,0.0257893948829141, https://leetcode.com/problems/isomorphic-strings
362,,Design Hit Counter,63.7%,Medium,0.0253820732714171, https://leetcode.com/problems/design-hit-counter
151,,Reverse Words in a String,21.9%,Medium,0.0243210042162734, https://leetcode.com/problems/reverse-words-in-a-string
426,,Convert Binary Search Tree to Sorted Doubly Linked List,59.1%,Medium,0.0242142581205946, https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list
140,,Word Break II,32.6%,Hard,0.0241040057528133, https://leetcode.com/problems/word-break-ii
31,,Next Permutation,32.6%,Medium,0.0237470345628781, https://leetcode.com/problems/next-permutation
252,,Meeting Rooms,54.6%,Easy,0.0233246725664089, https://leetcode.com/problems/meeting-rooms
39,,Combination Sum,56.1%,Medium,0.0226702823033862, https://leetcode.com/problems/combination-sum
