ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
554,,Brick Wall,50.0%,Medium,0.5628369978035019, https://leetcode.com/problems/brick-wall
352,,Data Stream as Disjoint Intervals,47.3%,Hard,0.4990377527312547, https://leetcode.com/problems/data-stream-as-disjoint-intervals
362,,Design Hit Counter,63.7%,Medium,0.4137338521213525, https://leetcode.com/problems/design-hit-counter
146,,LRU Cache,33.2%,Medium,0.3284299515114502, https://leetcode.com/problems/lru-cache
425,,Word Squares,47.7%,Hard,0.243126050901548, https://leetcode.com/problems/word-squares
403,,Frog Jump,39.7%,Hard,0.2121841757619905, https://leetcode.com/problems/frog-jump
706,,Design HashMap,61.3%,Easy,0.1960785423771685, https://leetcode.com/problems/design-hashmap
253,,Meeting Rooms II,45.7%,Medium,0.1846510256146004, https://leetcode.com/problems/meeting-rooms-ii
23,,Merge k Sorted Lists,40.2%,Hard,0.1814246426260453, https://leetcode.com/problems/merge-k-sorted-lists
636,,Exclusive Time of Functions,51.9%,Medium,0.1749480058630559, https://leetcode.com/problems/exclusive-time-of-functions
415,,Add Strings,47.5%,Easy,0.1742924561186804, https://leetcode.com/problems/add-strings
56,,Merge Intervals,39.3%,Medium,0.1574006175650271, https://leetcode.com/problems/merge-intervals
450,,Delete Node in a BST,43.1%,Medium,0.1556195991005324, https://leetcode.com/problems/delete-node-in-a-bst
1242,,Web Crawler Multithreaded,45.9%,Medium,0.1495317339709637, https://leetcode.com/problems/web-crawler-multithreaded
227,,Basic Calculator II,36.9%,Medium,0.1422270995920765, https://leetcode.com/problems/basic-calculator-ii
1044,,Longest Duplicate Substring,31.9%,Hard,0.1351378186727963, https://leetcode.com/problems/longest-duplicate-substring
297,,Serialize and Deserialize Binary Tree,47.5%,Hard,0.1343744320532658, https://leetcode.com/problems/serialize-and-deserialize-binary-tree
200,,Number of Islands,46.8%,Medium,0.1326085244296406, https://leetcode.com/problems/number-of-islands
692,,Top K Frequent Words,51.8%,Medium,0.1139616691735821, https://leetcode.com/problems/top-k-frequent-words
1188,,Design Bounded Blocking Queue,70.5%,Medium,0.110304542014706, https://leetcode.com/problems/design-bounded-blocking-queue
230,,Kth Smallest Element in a BST,60.2%,Medium,0.0968547154155568, https://leetcode.com/problems/kth-smallest-element-in-a-bst
75,,Sort Colors,47.3%,Medium,0.0965379270426472, https://leetcode.com/problems/sort-colors
394,,Decode String,50.0%,Medium,0.0957200998756521, https://leetcode.com/problems/decode-string
1236,,Web Crawler,64.3%,Medium,0.0953101798043248, https://leetcode.com/problems/web-crawler
33,,Search in Rotated Sorted Array,34.5%,Medium,0.0933671740116967, https://leetcode.com/problems/search-in-rotated-sorted-array
545,,Boundary of Binary Tree,38.9%,Medium,0.091248671465145, https://leetcode.com/problems/boundary-of-binary-tree
