ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
1473,,Paint House III,48.1%,Hard,0.4201627490481727, https://leetcode.com/problems/paint-house-iii
1041,,Robot Bounded In Circle,49.6%,Medium,0.2698663176002888, https://leetcode.com/problems/robot-bounded-in-circle
1497,,Check If Array Pairs Are Divisible by k,41.1%,Medium,0.2357666456855048, https://leetcode.com/problems/check-if-array-pairs-are-divisible-by-k
243,,Shortest Word Distance,61.0%,Easy,0.2312273345827997, https://leetcode.com/problems/shortest-word-distance
242,,Valid Anagram,56.9%,Easy,0.0809309031349158, https://leetcode.com/problems/valid-anagram
54,,Spiral Matrix,34.1%,Medium,0.0779284612004354, https://leetcode.com/problems/spiral-matrix
1297,,Maximum Number of Occurrences of a Substring,47.3%,Medium,0.0777089843273162, https://leetcode.com/problems/maximum-number-of-occurrences-of-a-substring
68,,Text Justification,27.7%,Hard,0.0611603618716958, https://leetcode.com/problems/text-justification
56,,Merge Intervals,39.3%,Medium,0.0541679202125642, https://leetcode.com/problems/merge-intervals
224,,Basic Calculator,36.8%,Hard,0.0465681654772114, https://leetcode.com/problems/basic-calculator
532,,K-diff Pairs in an Array,31.6%,Easy,0.041672696400568, https://leetcode.com/problems/k-diff-pairs-in-an-array
25,,Reverse Nodes in k-Group,42.1%,Hard,0.040236757867738, https://leetcode.com/problems/reverse-nodes-in-k-group
53,,Maximum Subarray,46.5%,Easy,0.0341220863466137, https://leetcode.com/problems/maximum-subarray
240,,Search a 2D Matrix II,43.2%,Medium,0.0299928761240394, https://leetcode.com/problems/search-a-2d-matrix-ii
324,,Wiggle Sort II,29.9%,Medium,0.0289875368732522, https://leetcode.com/problems/wiggle-sort-ii
146,,LRU Cache,33.2%,Medium,0.0284110018327798, https://leetcode.com/problems/lru-cache
20,,Valid Parentheses,39.0%,Easy,0.0278237344500103, https://leetcode.com/problems/valid-parentheses
73,,Set Matrix Zeroes,43.1%,Medium,0.027769920533553, https://leetcode.com/problems/set-matrix-zeroes
735,,Asteroid Collision,41.0%,Medium,0.0247231380867947, https://leetcode.com/problems/asteroid-collision
128,,Longest Consecutive Sequence,45.1%,Hard,0.0202527174332123, https://leetcode.com/problems/longest-consecutive-sequence
12,,Integer to Roman,55.1%,Medium,0.0190966974564563, https://leetcode.com/problems/integer-to-roman
253,,Meeting Rooms II,45.7%,Medium,0.0180873098105793, https://leetcode.com/problems/meeting-rooms-ii
6,,ZigZag Conversion,36.3%,Medium,0.0172682725322634, https://leetcode.com/problems/zigzag-conversion
1,,Two Sum,45.6%,Easy,0.0164875806374676, https://leetcode.com/problems/two-sum
977,,Squares of a Sorted Array,72.1%,Easy,0.0154741965825973, https://leetcode.com/problems/squares-of-a-sorted-array
557,,Reverse Words in a String III,69.8%,Easy,0.0137317640013159, https://leetcode.com/problems/reverse-words-in-a-string-iii
134,,Gas Station,38.5%,Medium,0.0135274298171563, https://leetcode.com/problems/gas-station
1047,,Remove All Adjacent Duplicates In String,68.6%,Easy,0.0130592779891792, https://leetcode.com/problems/remove-all-adjacent-duplicates-in-string
82,,Remove Duplicates from Sorted List II,36.8%,Medium,0.0129703504426274, https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii
199,,Binary Tree Right Side View,54.1%,Medium,0.0127408291990616, https://leetcode.com/problems/binary-tree-right-side-view
227,,Basic Calculator II,36.9%,Medium,0.0123994149050382, https://leetcode.com/problems/basic-calculator-ii
273,,Integer to English Words,27.1%,Hard,0.0120810892503397, https://leetcode.com/problems/integer-to-english-words
75,,Sort Colors,47.3%,Medium,0.0111983253100295, https://leetcode.com/problems/sort-colors
72,,Edit Distance,44.8%,Hard,0.0100176144523177, https://leetcode.com/problems/edit-distance
46,,Permutations,63.5%,Medium,0.0094618031372884, https://leetcode.com/problems/permutations
189,,Rotate Array,34.7%,Easy,0.0090443788066599, https://leetcode.com/problems/rotate-array
416,,Partition Equal Subset Sum,43.7%,Medium,0.0086862652559603, https://leetcode.com/problems/partition-equal-subset-sum
876,,Middle of the Linked List,68.4%,Easy,0.0076248939756969, https://leetcode.com/problems/middle-of-the-linked-list
2,,Add Two Numbers,33.9%,Medium,0.0067374349519933, https://leetcode.com/problems/add-two-numbers
283,,Move Zeroes,57.8%,Easy,0.0064804374258567, https://leetcode.com/problems/move-zeroes
973,,K Closest Points to Origin,63.8%,Medium,0.0057736880944263, https://leetcode.com/problems/k-closest-points-to-origin
167,,Two Sum II - Input array is sorted,54.1%,Easy,0.005507380022589, https://leetcode.com/problems/two-sum-ii-input-array-is-sorted
207,,Course Schedule,43.1%,Medium,0.0049640211142117, https://leetcode.com/problems/course-schedule
15,,3Sum,26.8%,Medium,0.0049409927587425, https://leetcode.com/problems/3sum
236,,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.0047142102627264, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
322,,Coin Change,35.5%,Medium,0.0040298261265008, https://leetcode.com/problems/coin-change
28,,Implement strStr(),34.5%,Easy,0.00394322277504, https://leetcode.com/problems/implement-strstr
238,,Product of Array Except Self,60.1%,Medium,0.0039304364247245, https://leetcode.com/problems/product-of-array-except-self
344,,Reverse String,68.5%,Easy,0.0032695795025198, https://leetcode.com/problems/reverse-string
33,,Search in Rotated Sorted Array,34.5%,Medium,0.0032299769683326, https://leetcode.com/problems/search-in-rotated-sorted-array
200,,Number of Islands,46.8%,Medium,0.0028897578265903, https://leetcode.com/problems/number-of-islands
104,,Maximum Depth of Binary Tree,66.0%,Easy,0.0027878468014331, https://leetcode.com/problems/maximum-depth-of-binary-tree
206,,Reverse Linked List,62.5%,Easy,0.0023398665252948, https://leetcode.com/problems/reverse-linked-list
5,,Longest Palindromic Substring,29.5%,Medium,0.0022793331425074, https://leetcode.com/problems/longest-palindromic-substring
21,,Merge Two Sorted Lists,53.5%,Easy,0.0022551737583973, https://leetcode.com/problems/merge-two-sorted-lists
121,,Best Time to Buy and Sell Stock,50.5%,Easy,0.0021239321954525, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
203,,Remove Linked List Elements,38.6%,Easy,0.0016237064659255, https://leetcode.com/problems/remove-linked-list-elements
3,,Longest Substring Without Repeating Characters,30.4%,Medium,0.0015556336509412, https://leetcode.com/problems/longest-substring-without-repeating-characters
