ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
780,,Reaching Points,29.4%,Hard,0.3383296024259593, https://leetcode.com/problems/reaching-points
146,,LRU Cache,33.2%,Medium,0.2585885798043696, https://leetcode.com/problems/lru-cache
1283,,Find the Smallest Divisor Given a Threshold,47.6%,Medium,0.1788475571827798, https://leetcode.com/problems/find-the-smallest-divisor-given-a-threshold
706,,Design HashMap,61.3%,Easy,0.1476880076475794, https://leetcode.com/problems/design-hashmap
460,,LFU Cache,34.2%,Hard,0.1184816036205234, https://leetcode.com/problems/lfu-cache
532,,K-diff Pairs in an Array,31.6%,Easy,0.111723209445655, https://leetcode.com/problems/k-diff-pairs-in-an-array
82,,Remove Duplicates from Sorted List II,36.8%,Medium,0.1110882064011508, https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii
56,,Merge Intervals,39.3%,Medium,0.1000586092061705, https://leetcode.com/problems/merge-intervals
251,,Flatten 2D Vector,45.7%,Medium,0.0663593324369607, https://leetcode.com/problems/flatten-2d-vector
353,,Design Snake Game,34.2%,Medium,0.0605328492288423, https://leetcode.com/problems/design-snake-game
384,,Shuffle an Array,52.8%,Medium,0.0596524199288511, https://leetcode.com/problems/shuffle-an-array
218,,The Skyline Problem,34.6%,Hard,0.0564413109049518, https://leetcode.com/problems/the-skyline-problem
83,,Remove Duplicates from Sorted List,45.4%,Easy,0.0557765374574118, https://leetcode.com/problems/remove-duplicates-from-sorted-list
642,,Design Search Autocomplete System,44.7%,Hard,0.043343729216472, https://leetcode.com/problems/design-search-autocomplete-system
895,,Maximum Frequency Stack,60.6%,Hard,0.0432968057533241, https://leetcode.com/problems/maximum-frequency-stack
17,,Letter Combinations of a Phone Number,46.8%,Medium,0.0389364637500942, https://leetcode.com/problems/letter-combinations-of-a-phone-number
179,,Largest Number,28.8%,Medium,0.0309303006913586, https://leetcode.com/problems/largest-number
724,,Find Pivot Index,44.0%,Easy,0.0308984415512341, https://leetcode.com/problems/find-pivot-index
135,,Candy,31.6%,Hard,0.0297641019064538, https://leetcode.com/problems/candy
348,,Design Tic-Tac-Toe,54.3%,Medium,0.0242142581205946, https://leetcode.com/problems/design-tic-tac-toe
127,,Word Ladder,29.6%,Medium,0.0237048136551663, https://leetcode.com/problems/word-ladder
211,,Add and Search Word - Data structure design,38.1%,Medium,0.0233352564089637, https://leetcode.com/problems/add-and-search-word-data-structure-design
207,,Course Schedule,43.1%,Medium,0.0197099260551364, https://leetcode.com/problems/course-schedule
314,,Binary Tree Vertical Order Traversal,45.3%,Medium,0.0180103922744653, https://leetcode.com/problems/binary-tree-vertical-order-traversal
692,,Top K Frequent Words,51.8%,Medium,0.0168322657431721, https://leetcode.com/problems/top-k-frequent-words
71,,Simplify Path,32.6%,Medium,0.0162605208717803, https://leetcode.com/problems/simplify-path
23,,Merge k Sorted Lists,40.2%,Hard,0.0161082713853282, https://leetcode.com/problems/merge-k-sorted-lists
41,,First Missing Positive,32.0%,Hard,0.0143680632669201, https://leetcode.com/problems/first-missing-positive
20,,Valid Parentheses,39.0%,Easy,0.0142924911800259, https://leetcode.com/problems/valid-parentheses
557,,Reverse Words in a String III,69.8%,Easy,0.0137317640013159, https://leetcode.com/problems/reverse-words-in-a-string-iii
287,,Find the Duplicate Number,55.5%,Medium,0.0123356827391886, https://leetcode.com/problems/find-the-duplicate-number
547,,Friend Circles,58.6%,Medium,0.0122288286394345, https://leetcode.com/problems/friend-circles
98,,Validate Binary Search Tree,27.8%,Medium,0.0117234636960592, https://leetcode.com/problems/validate-binary-search-tree
205,,Isomorphic Strings,39.8%,Easy,0.0115441397468653, https://leetcode.com/problems/isomorphic-strings
48,,Rotate Image,56.7%,Medium,0.0114286958236227, https://leetcode.com/problems/rotate-image
232,,Implement Queue using Stacks,49.6%,Easy,0.0112423893489338, https://leetcode.com/problems/implement-queue-using-stacks
236,,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.0105758917590581, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
212,,Word Search II,34.9%,Hard,0.0098450216788048, https://leetcode.com/problems/word-search-ii
380,,Insert Delete GetRandom O(1),47.5%,Medium,0.0098208498640944, https://leetcode.com/problems/insert-delete-getrandom-o1
42,,Trapping Rain Water,48.9%,Hard,0.0097625246556591, https://leetcode.com/problems/trapping-rain-water
295,,Find Median from Data Stream,44.3%,Hard,0.0089989358685695, https://leetcode.com/problems/find-median-from-data-stream
12,,Integer to Roman,55.1%,Medium,0.0085324749737207, https://leetcode.com/problems/integer-to-roman
153,,Find Minimum in Rotated Sorted Array,45.1%,Medium,0.0084309632887993, https://leetcode.com/problems/find-minimum-in-rotated-sorted-array
394,,Decode String,50.0%,Medium,0.0081666440002722, https://leetcode.com/problems/decode-string
240,,Search a 2D Matrix II,43.2%,Medium,0.0075829747244553, https://leetcode.com/problems/search-a-2d-matrix-ii
36,,Valid Sudoku,48.7%,Medium,0.0072582427158053, https://leetcode.com/problems/valid-sudoku
412,,Fizz Buzz,62.3%,Easy,0.0071659210261436, https://leetcode.com/problems/fizz-buzz
297,,Serialize and Deserialize Binary Tree,47.5%,Hard,0.007077170374085, https://leetcode.com/problems/serialize-and-deserialize-binary-tree
73,,Set Matrix Zeroes,43.1%,Medium,0.0070151111959223, https://leetcode.com/problems/set-matrix-zeroes
200,,Number of Islands,46.8%,Medium,0.0064902513827793, https://leetcode.com/problems/number-of-islands
76,,Minimum Window Substring,34.6%,Hard,0.0062315203987232, https://leetcode.com/problems/minimum-window-substring
226,,Invert Binary Tree,65.0%,Easy,0.0055081384097922, https://leetcode.com/problems/invert-binary-tree
300,,Longest Increasing Subsequence,42.6%,Medium,0.0052645554600032, https://leetcode.com/problems/longest-increasing-subsequence
350,,Intersection of Two Arrays II,51.4%,Easy,0.0052103804211939, https://leetcode.com/problems/intersection-of-two-arrays-ii
22,,Generate Parentheses,62.7%,Medium,0.0043611059090124, https://leetcode.com/problems/generate-parentheses
46,,Permutations,63.5%,Medium,0.0042163022301392, https://leetcode.com/problems/permutations
238,,Product of Array Except Self,60.1%,Medium,0.0039304364247245, https://leetcode.com/problems/product-of-array-except-self
215,,Kth Largest Element in an Array,55.4%,Medium,0.0039024439769317, https://leetcode.com/problems/kth-largest-element-in-an-array
139,,Word Break,40.1%,Medium,0.0038944650526901, https://leetcode.com/problems/word-break
49,,Group Anagrams,56.9%,Medium,0.003804093983556, https://leetcode.com/problems/group-anagrams
151,,Reverse Words in a String,21.9%,Medium,0.0034560919159889, https://leetcode.com/problems/reverse-words-in-a-string
101,,Symmetric Tree,46.8%,Easy,0.0034057078469827, https://leetcode.com/problems/symmetric-tree
1,,Two Sum,45.6%,Easy,0.0032784227380416, https://leetcode.com/problems/two-sum
33,,Search in Rotated Sorted Array,34.5%,Medium,0.0032299769683326, https://leetcode.com/problems/search-in-rotated-sorted-array
15,,3Sum,26.8%,Medium,0.0021990113314367, https://leetcode.com/problems/3sum
53,,Maximum Subarray,46.5%,Easy,0.0021670828721507, https://leetcode.com/problems/maximum-subarray
2,,Add Two Numbers,33.9%,Medium,0.001688619111144, https://leetcode.com/problems/add-two-numbers
3,,Longest Substring Without Repeating Characters,30.4%,Medium,0.0015556336509412, https://leetcode.com/problems/longest-substring-without-repeating-characters
