ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
317,,Shortest Distance from All Buildings,41.4%,Hard,0.1403747041711131, https://leetcode.com/problems/shortest-distance-from-all-buildings
146,,LRU Cache,33.2%,Medium,0.1056003783698627, https://leetcode.com/problems/lru-cache
632,,Smallest Range Covering Elements from K Lists,52.4%,Hard,0.0708260525686124, https://leetcode.com/problems/smallest-range-covering-elements-from-k-lists
772,,Basic Calculator III,41.3%,Hard,0.0633122794143268, https://leetcode.com/problems/basic-calculator-iii
212,,Word Search II,34.9%,Hard,0.0599987985837897, https://leetcode.com/problems/word-search-ii
224,,Basic Calculator,36.8%,Hard,0.0465681654772114, https://leetcode.com/problems/basic-calculator
1031,,Maximum Sum of Two Non-Overlapping Subarrays,57.9%,Medium,0.0371100096512312, https://leetcode.com/problems/maximum-sum-of-two-non-overlapping-subarrays
1146,,Snapshot Array,37.0%,Medium,0.0317991816929387, https://leetcode.com/problems/snapshot-array
68,,Text Justification,27.7%,Hard,0.0276451606661453, https://leetcode.com/problems/text-justification
310,,Minimum Height Trees,32.3%,Medium,0.0244660521544063, https://leetcode.com/problems/minimum-height-trees
340,,Longest Substring with At Most K Distinct Characters,44.1%,Hard,0.0161228804865631, https://leetcode.com/problems/longest-substring-with-at-most-k-distinct-characters
79,,Word Search,35.6%,Medium,0.01488368801474, https://leetcode.com/problems/word-search
329,,Longest Increasing Path in a Matrix,43.4%,Hard,0.0134005355374821, https://leetcode.com/problems/longest-increasing-path-in-a-matrix
91,,Decode Ways,24.7%,Medium,0.013379120336324, https://leetcode.com/problems/decode-ways
227,,Basic Calculator II,36.9%,Medium,0.0123994149050382, https://leetcode.com/problems/basic-calculator-ii
986,,Interval List Intersections,67.3%,Medium,0.0119690237953207, https://leetcode.com/problems/interval-list-intersections
200,,Number of Islands,46.8%,Medium,0.0115092624205908, https://leetcode.com/problems/number-of-islands
733,,Flood Fill,55.3%,Easy,0.0112171675309249, https://leetcode.com/problems/flood-fill
234,,Palindrome Linked List,39.3%,Easy,0.0101718779387339, https://leetcode.com/problems/palindrome-linked-list
42,,Trapping Rain Water,48.9%,Hard,0.0097625246556591, https://leetcode.com/problems/trapping-rain-water
139,,Word Break,40.1%,Medium,0.0087413144015735, https://leetcode.com/problems/word-break
394,,Decode String,50.0%,Medium,0.0081666440002722, https://leetcode.com/problems/decode-string
253,,Meeting Rooms II,45.7%,Medium,0.0080792198705464, https://leetcode.com/problems/meeting-rooms-ii
56,,Merge Intervals,39.3%,Medium,0.0077969727060047, https://leetcode.com/problems/merge-intervals
415,,Add Strings,47.5%,Easy,0.0075872898121594, https://leetcode.com/problems/add-strings
14,,Longest Common Prefix,35.4%,Easy,0.0074553029209059, https://leetcode.com/problems/longest-common-prefix
297,,Serialize and Deserialize Binary Tree,47.5%,Hard,0.007077170374085, https://leetcode.com/problems/serialize-and-deserialize-binary-tree
54,,Spiral Matrix,34.1%,Medium,0.006594155117513, https://leetcode.com/problems/spiral-matrix
189,,Rotate Array,34.7%,Easy,0.0040298261265008, https://leetcode.com/problems/rotate-array
347,,Top K Frequent Elements,61.2%,Medium,0.0033396446491217, https://leetcode.com/problems/top-k-frequent-elements
210,,Course Schedule II,40.7%,Medium,0.0019086707135282, https://leetcode.com/problems/course-schedule-ii
