ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
271,,Encode and Decode Strings,31.5%,Medium,0.456074830875999, https://leetcode.com/problems/encode-and-decode-strings
336,,Palindrome Pairs,33.7%,Hard,0.3591927799310734, https://leetcode.com/problems/palindrome-pairs
969,,Pancake Sorting,67.5%,Medium,0.2734300497445794, https://leetcode.com/problems/pancake-sorting
999,,Available Captures for Rook,66.7%,Easy,0.2458796322949491, https://leetcode.com/problems/available-captures-for-rook
72,,Edit Distance,44.8%,Hard,0.1493569277432215, https://leetcode.com/problems/edit-distance
91,,Decode Ways,24.7%,Medium,0.0524748767982959, https://leetcode.com/problems/decode-ways
127,,Word Ladder,29.6%,Medium,0.0367959097020458, https://leetcode.com/problems/word-ladder
165,,Compare Version Numbers,27.4%,Medium,0.0351873674509732, https://leetcode.com/problems/compare-version-numbers
824,,Goat Latin,63.4%,Easy,0.0317991816929387, https://leetcode.com/problems/goat-latin
415,,Add Strings,47.5%,Easy,0.0300097538679918, https://leetcode.com/problems/add-strings
277,,Find the Celebrity,41.8%,Medium,0.029697802391742, https://leetcode.com/problems/find-the-celebrity
273,,Integer to English Words,27.1%,Hard,0.026980053764546, https://leetcode.com/problems/integer-to-english-words
981,,Time Based Key-Value Store,53.1%,Medium,0.0222602402415198, https://leetcode.com/problems/time-based-key-value-store
332,,Reconstruct Itinerary,36.7%,Medium,0.0137553750684853, https://leetcode.com/problems/reconstruct-itinerary
269,,Alien Dictionary,33.3%,Hard,0.0127309166940399, https://leetcode.com/problems/alien-dictionary
208,,Implement Trie (Prefix Tree),49.4%,Medium,0.0091054578566266, https://leetcode.com/problems/implement-trie-prefix-tree
39,,Combination Sum,56.1%,Medium,0.0057159343964409, https://leetcode.com/problems/combination-sum
105,,Construct Binary Tree from Preorder and Inorder Traversal,48.8%,Medium,0.0056282686916147, https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
15,,3Sum,26.8%,Medium,0.0049409927587425, https://leetcode.com/problems/3sum
17,,Letter Combinations of a Phone Number,46.8%,Medium,0.0044018999217624, https://leetcode.com/problems/letter-combinations-of-a-phone-number
139,,Word Break,40.1%,Medium,0.0038944650526901, https://leetcode.com/problems/word-break
200,,Number of Islands,46.8%,Medium,0.0028897578265903, https://leetcode.com/problems/number-of-islands
