ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
72,,Edit Distance,44.8%,Hard,0.8278420197119241, https://leetcode.com/problems/edit-distance
271,,Encode and Decode Strings,31.5%,Medium,0.6492888646599129, https://leetcode.com/problems/encode-and-decode-strings
969,,Pancake Sorting,67.5%,Medium,0.5905780135393897, https://leetcode.com/problems/pancake-sorting
336,,Palindrome Pairs,33.7%,Hard,0.5700227742957876, https://leetcode.com/problems/palindrome-pairs
999,,Available Captures for Rook,66.7%,Easy,0.4868470419092762, https://leetcode.com/problems/available-captures-for-rook
91,,Decode Ways,24.7%,Medium,0.3243409685135098, https://leetcode.com/problems/decode-ways
269,,Alien Dictionary,33.3%,Hard,0.1457878134614986, https://leetcode.com/problems/alien-dictionary
273,,Integer to English Words,27.1%,Hard,0.1038096327122969, https://leetcode.com/problems/integer-to-english-words
165,,Compare Version Numbers,27.4%,Medium,0.0948397873798243, https://leetcode.com/problems/compare-version-numbers
415,,Add Strings,47.5%,Easy,0.0891986252583224, https://leetcode.com/problems/add-strings
17,,Letter Combinations of a Phone Number,46.8%,Medium,0.0855673732620712, https://leetcode.com/problems/letter-combinations-of-a-phone-number
277,,Find the Celebrity,41.8%,Medium,0.0656212053584729, https://leetcode.com/problems/find-the-celebrity
208,,Implement Trie (Prefix Tree),49.4%,Medium,0.0555945725753048, https://leetcode.com/problems/implement-trie-prefix-tree
127,,Word Ladder,29.6%,Medium,0.0525668458950411, https://leetcode.com/problems/word-ladder
105,,Construct Binary Tree from Preorder and Inorder Traversal,48.8%,Medium,0.0495491469003895, https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal
824,,Goat Latin,63.4%,Easy,0.0317991816929387, https://leetcode.com/problems/goat-latin
332,,Reconstruct Itinerary,36.7%,Medium,0.0306877132312374, https://leetcode.com/problems/reconstruct-itinerary
981,,Time Based Key-Value Store,53.1%,Medium,0.0222602402415198, https://leetcode.com/problems/time-based-key-value-store
15,,3Sum,26.8%,Medium,0.0136651484190809, https://leetcode.com/problems/3sum
200,,Number of Islands,46.8%,Medium,0.0115092624205908, https://leetcode.com/problems/number-of-islands
139,,Word Break,40.1%,Medium,0.0087413144015735, https://leetcode.com/problems/word-break
39,,Combination Sum,56.1%,Medium,0.0057159343964409, https://leetcode.com/problems/combination-sum
573,,Squirrel Simulation,55.6%,Medium,0.0, https://leetcode.com/problems/squirrel-simulation
699,,Falling Squares,41.8%,Hard,0.0, https://leetcode.com/problems/falling-squares
