ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
256,,Paint House,52.1%,Easy,0.0317236072257089, https://leetcode.com/problems/paint-house
143,,Reorder List,37.1%,Medium,0.0258709455986492, https://leetcode.com/problems/reorder-list
33,,Search in Rotated Sorted Array,34.5%,Medium,0.0200182839715896, https://leetcode.com/problems/search-in-rotated-sorted-array
1143,,Longest Common Subsequence,58.4%,Medium,0.0197721731155797, https://leetcode.com/problems/longest-common-subsequence
394,,Decode String,50.0%,Medium,0.0182820448374491, https://leetcode.com/problems/decode-string
21,,Merge Two Sorted Lists,53.5%,Easy,0.0140121113321347, https://leetcode.com/problems/merge-two-sorted-lists
227,,Basic Calculator II,36.9%,Medium,0.0123994149050382, https://leetcode.com/problems/basic-calculator-ii
543,,Diameter of Binary Tree,48.4%,Easy,0.0118986067984958, https://leetcode.com/problems/diameter-of-binary-tree
121,,Best Time to Buy and Sell Stock,50.5%,Easy,0.0084687956530031, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
240,,Search a 2D Matrix II,43.2%,Medium,0.0075829747244553, https://leetcode.com/problems/search-a-2d-matrix-ii
136,,Single Number,65.5%,Easy,0.0064451669687133, https://leetcode.com/problems/single-number
76,,Minimum Window Substring,34.6%,Hard,0.0062315203987232, https://leetcode.com/problems/minimum-window-substring
287,,Find the Duplicate Number,55.5%,Medium,0.0055013204348376, https://leetcode.com/problems/find-the-duplicate-number
206,,Reverse Linked List,62.5%,Easy,0.0052570214528016, https://leetcode.com/problems/reverse-linked-list
15,,3Sum,26.8%,Medium,0.0049409927587425, https://leetcode.com/problems/3sum
160,,Intersection of Two Linked Lists,40.6%,Easy,0.0049013699397204, https://leetcode.com/problems/intersection-of-two-linked-lists
169,,Majority Element,58.7%,Easy,0.0047064447388374, https://leetcode.com/problems/majority-element
215,,Kth Largest Element in an Array,55.4%,Medium,0.0039024439769317, https://leetcode.com/problems/kth-largest-element-in-an-array
4,,Median of Two Sorted Arrays,29.6%,Hard,0.0039001609500947, https://leetcode.com/problems/median-of-two-sorted-arrays
8,,String to Integer (atoi),15.4%,Medium,0.0037925521897059, https://leetcode.com/problems/string-to-integer-atoi
56,,Merge Intervals,39.3%,Medium,0.0034728286335985, https://leetcode.com/problems/merge-intervals
1,,Two Sum,45.6%,Easy,0.0032784227380416, https://leetcode.com/problems/two-sum
20,,Valid Parentheses,39.0%,Easy,0.0023005704055949, https://leetcode.com/problems/valid-parentheses
5,,Longest Palindromic Substring,29.5%,Medium,0.0022793331425074, https://leetcode.com/problems/longest-palindromic-substring
190,,Reverse Bits,39.8%,Easy,0.0018316700789167, https://leetcode.com/problems/reverse-bits
