ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
828,,Count Unique Characters of All Substrings of a Given String,45.2%,Hard,0.4064583363781751, https://leetcode.com/problems/count-unique-characters-of-all-substrings-of-a-given-string
695,,Max Area of Island,62.7%,Medium,0.2770125235595406, https://leetcode.com/problems/max-area-of-island
723,,Candy Crush,69.2%,Medium,0.1475667107409061, https://leetcode.com/problems/candy-crush
200,,Number of Islands,46.8%,Medium,0.0698510378599645, https://leetcode.com/problems/number-of-islands
56,,Merge Intervals,39.3%,Medium,0.0308296380840767, https://leetcode.com/problems/merge-intervals
977,,Squares of a Sorted Array,72.1%,Easy,0.0154741965825973, https://leetcode.com/problems/squares-of-a-sorted-array
41,,First Missing Positive,32.0%,Hard,0.0143680632669201, https://leetcode.com/problems/first-missing-positive
767,,Reorganize String,48.7%,Medium,0.0132980683046314, https://leetcode.com/problems/reorganize-string
146,,LRU Cache,33.2%,Medium,0.0103211925402749, https://leetcode.com/problems/lru-cache
3,,Longest Substring Without Repeating Characters,30.4%,Medium,0.0096832424447395, https://leetcode.com/problems/longest-substring-without-repeating-characters
33,,Search in Rotated Sorted Array,34.5%,Medium,0.0072528321803903, https://leetcode.com/problems/search-in-rotated-sorted-array
1230,,Toss Strange Coins,48.7%,Medium,0.0, https://leetcode.com/problems/toss-strange-coins
1435,,Create a Session Bar Chart,76.9%,Easy,0.0, https://leetcode.com/problems/create-a-session-bar-chart
1500,,Design a File Sharing System,45.8%,Medium,0.0, https://leetcode.com/problems/design-a-file-sharing-system
