ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
529,,Minesweeper,59.1%,Medium,1.3576226678233785, https://leetcode.com/problems/minesweeper
757,,Set Intersection Size At Least Two,40.1%,Hard,1.267992345644121, https://leetcode.com/problems/set-intersection-size-at-least-two
427,,Construct Quad Tree,61.4%,Medium,1.1083419721414765, https://leetcode.com/problems/construct-quad-tree
267,,Palindrome Permutation II,36.4%,Medium,0.9486915986388316, https://leetcode.com/problems/palindrome-permutation-ii
741,,Cherry Pickup,33.9%,Hard,0.8368333911973983, https://leetcode.com/problems/cherry-pickup
305,,Number of Islands II,40.1%,Hard,0.751971278948869, https://leetcode.com/problems/number-of-islands-ii
291,,Word Pattern II,43.4%,Hard,0.6452087603122145, https://leetcode.com/problems/word-pattern-ii
773,,Sliding Puzzle,59.3%,Hard,0.62034837400244, https://leetcode.com/problems/sliding-puzzle
332,,Reconstruct Itinerary,36.7%,Medium,0.4606980004997951, https://leetcode.com/problems/reconstruct-itinerary
668,,Kth Smallest Number in Multiplication Table,45.6%,Hard,0.4506902061131003, https://leetcode.com/problems/kth-smallest-number-in-multiplication-table
465,,Optimal Account Balancing,46.9%,Hard,0.4474602291447676, https://leetcode.com/problems/optimal-account-balancing
655,,Print Binary Tree,55.0%,Medium,0.3866059883710684, https://leetcode.com/problems/print-binary-tree
1281,,Subtract the Product and Sum of Digits of an Integer,85.2%,Easy,0.3807587855252646, https://leetcode.com/problems/subtract-the-product-and-sum-of-digits-of-an-integer
936,,Stamping The Sequence,42.8%,Hard,0.2972515234679316, https://leetcode.com/problems/stamping-the-sequence
1136,,Parallel Courses,61.1%,Hard,0.2858421455297737, https://leetcode.com/problems/parallel-courses
227,,Basic Calculator II,36.9%,Medium,0.2714880230931468, https://leetcode.com/problems/basic-calculator-ii
527,,Word Abbreviation,54.3%,Hard,0.2436220826577504, https://leetcode.com/problems/word-abbreviation
772,,Basic Calculator III,41.3%,Hard,0.2322522675124501, https://leetcode.com/problems/basic-calculator-iii
986,,Interval List Intersections,67.3%,Medium,0.2181945400662889, https://leetcode.com/problems/interval-list-intersections
