ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
757,,Set Intersection Size At Least Two,40.1%,Hard,0.5396314899631808, https://leetcode.com/problems/set-intersection-size-at-least-two
529,,Minesweeper,59.1%,Medium,0.4349614506910173, https://leetcode.com/problems/minesweeper
305,,Number of Islands II,40.1%,Hard,0.3271409091923286, https://leetcode.com/problems/number-of-islands-ii
1136,,Parallel Courses,61.1%,Hard,0.2858421455297737, https://leetcode.com/problems/parallel-courses
773,,Sliding Puzzle,59.3%,Hard,0.2632906193276217, https://leetcode.com/problems/sliding-puzzle
527,,Word Abbreviation,54.3%,Hard,0.2436220826577504, https://leetcode.com/problems/word-abbreviation
427,,Construct Quad Tree,61.4%,Medium,0.1358015411590617, https://leetcode.com/problems/construct-quad-tree
1188,,Design Bounded Blocking Queue,70.5%,Medium,0.110304542014706, https://leetcode.com/problems/design-bounded-blocking-queue
267,,Palindrome Permutation II,36.4%,Medium,0.1034513373880247, https://leetcode.com/problems/palindrome-permutation-ii
1281,,Subtract the Product and Sum of Digits of an Integer,85.2%,Easy,0.0941379198274643, https://leetcode.com/problems/subtract-the-product-and-sum-of-digits-of-an-integer
128,,Longest Consecutive Sequence,45.1%,Hard,0.0786603197723907, https://leetcode.com/problems/longest-consecutive-sequence
969,,Pancake Sorting,67.5%,Medium,0.0490896101965235, https://leetcode.com/problems/pancake-sorting
2,,Add Two Numbers,33.9%,Medium,0.033650830145699, https://leetcode.com/problems/add-two-numbers
228,,Summary Ranges,39.5%,Medium,0.0315732619160902, https://leetcode.com/problems/summary-ranges
239,,Sliding Window Maximum,43.0%,Hard,0.0312281425475857, https://leetcode.com/problems/sliding-window-maximum
56,,Merge Intervals,39.3%,Medium,0.0308296380840767, https://leetcode.com/problems/merge-intervals
445,,Add Two Numbers II,54.5%,Medium,0.0275330943599893, https://leetcode.com/problems/add-two-numbers-ii
1038,,Binary Search Tree to Greater Sum Tree,80.8%,Medium,0.0254466656611642, https://leetcode.com/problems/binary-search-tree-to-greater-sum-tree
149,,Max Points on a Line,16.9%,Hard,0.0248459985865308, https://leetcode.com/problems/max-points-on-a-line
238,,Product of Array Except Self,60.1%,Medium,0.0243155336983582, https://leetcode.com/problems/product-of-array-except-self
395,,Longest Substring with At Least K Repeating Characters,41.4%,Medium,0.0242289259743798, https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters
426,,Convert Binary Search Tree to Sorted Doubly Linked List,59.1%,Medium,0.0242142581205946, https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list
282,,Expression Add Operators,35.5%,Hard,0.0225234746670829, https://leetcode.com/problems/expression-add-operators
74,,Search a 2D Matrix,36.5%,Medium,0.0208969758772161, https://leetcode.com/problems/search-a-2d-matrix
341,,Flatten Nested List Iterator,52.9%,Medium,0.0199806846904834, https://leetcode.com/problems/flatten-nested-list-iterator
146,,LRU Cache,33.2%,Medium,0.0182757799387368, https://leetcode.com/problems/lru-cache
1,,Two Sum,45.6%,Easy,0.0164875806374676, https://leetcode.com/problems/two-sum
23,,Merge k Sorted Lists,40.2%,Hard,0.0161082713853282, https://leetcode.com/problems/merge-k-sorted-lists
297,,Serialize and Deserialize Binary Tree,47.5%,Hard,0.0158537757721772, https://leetcode.com/problems/serialize-and-deserialize-binary-tree
85,,Maximal Rectangle,37.7%,Hard,0.0133335308694651, https://leetcode.com/problems/maximal-rectangle
57,,Insert Interval,33.5%,Hard,0.0131192435924988, https://leetcode.com/problems/insert-interval
852,,Peak Index in a Mountain Array,71.6%,Easy,0.0126184639592115, https://leetcode.com/problems/peak-index-in-a-mountain-array
227,,Basic Calculator II,36.9%,Medium,0.0123994149050382, https://leetcode.com/problems/basic-calculator-ii
986,,Interval List Intersections,67.3%,Medium,0.0119690237953207, https://leetcode.com/problems/interval-list-intersections
130,,Surrounded Regions,28.1%,Medium,0.0119654433856753, https://leetcode.com/problems/surrounded-regions
211,,Add and Search Word - Data structure design,38.1%,Medium,0.0104385081439234, https://leetcode.com/problems/add-and-search-word-data-structure-design
72,,Edit Distance,44.8%,Hard,0.0100176144523177, https://leetcode.com/problems/edit-distance
380,,Insert Delete GetRandom O(1),47.5%,Medium,0.0098208498640944, https://leetcode.com/problems/insert-delete-getrandom-o1
42,,Trapping Rain Water,48.9%,Hard,0.0097625246556591, https://leetcode.com/problems/trapping-rain-water
34,,Find First and Last Position of Element in Sorted Array,36.2%,Medium,0.0095319510098118, https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array
46,,Permutations,63.5%,Medium,0.0094618031372884, https://leetcode.com/problems/permutations
32,,Longest Valid Parentheses,28.4%,Hard,0.0091116803512558, https://leetcode.com/problems/longest-valid-parentheses
438,,Find All Anagrams in a String,43.3%,Medium,0.0081268224604974, https://leetcode.com/problems/find-all-anagrams-in-a-string
54,,Spiral Matrix,34.1%,Medium,0.006594155117513, https://leetcode.com/problems/spiral-matrix
3,,Longest Substring Without Repeating Characters,30.4%,Medium,0.0062080671193743, https://leetcode.com/problems/longest-substring-without-repeating-characters
127,,Word Ladder,29.6%,Medium,0.005979091056058, https://leetcode.com/problems/word-ladder
39,,Combination Sum,56.1%,Medium,0.0057159343964409, https://leetcode.com/problems/combination-sum
152,,Maximum Product Subarray,31.7%,Medium,0.005590510716885, https://leetcode.com/problems/maximum-product-subarray
300,,Longest Increasing Subsequence,42.6%,Medium,0.0052645554600032, https://leetcode.com/problems/longest-increasing-subsequence
48,,Rotate Image,56.7%,Medium,0.0050955524266001, https://leetcode.com/problems/rotate-image
53,,Maximum Subarray,46.5%,Easy,0.0048693490141821, https://leetcode.com/problems/maximum-subarray
17,,Letter Combinations of a Phone Number,46.8%,Medium,0.0044018999217624, https://leetcode.com/problems/letter-combinations-of-a-phone-number
242,,Valid Anagram,56.9%,Easy,0.0041541237431159, https://leetcode.com/problems/valid-anagram
49,,Group Anagrams,56.9%,Medium,0.003804093983556, https://leetcode.com/problems/group-anagrams
200,,Number of Islands,46.8%,Medium,0.0028897578265903, https://leetcode.com/problems/number-of-islands
20,,Valid Parentheses,39.0%,Easy,0.0023005704055949, https://leetcode.com/problems/valid-parentheses
15,,3Sum,26.8%,Medium,0.0021990113314367, https://leetcode.com/problems/3sum
210,,Course Schedule II,40.7%,Medium,0.0019086707135282, https://leetcode.com/problems/course-schedule-ii
50,,Pow(x;n),30.3%,Medium,0.0014016892647828, https://leetcode.com/problems/powx-n
