ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
146,,LRU Cache,33.2%,Medium,0.4099246050977089, https://leetcode.com/problems/lru-cache
697,,Degree of an Array,53.8%,Easy,0.3745732054339119, https://leetcode.com/problems/degree-of-an-array
460,,LFU Cache,34.2%,Hard,0.3604069261652464, https://leetcode.com/problems/lfu-cache
20,,Valid Parentheses,39.0%,Easy,0.347758344150091, https://leetcode.com/problems/valid-parentheses
37,,Sudoku Solver,43.6%,Hard,0.3309817908451603, https://leetcode.com/problems/sudoku-solver
49,,Group Anagrams,56.9%,Medium,0.2956303911813633, https://leetcode.com/problems/group-anagrams
4,,Median of Two Sorted Arrays,29.6%,Hard,0.2749994072467641, https://leetcode.com/problems/median-of-two-sorted-arrays
33,,Search in Rotated Sorted Array,34.5%,Medium,0.2561733762253273, https://leetcode.com/problems/search-in-rotated-sorted-array
1,,Two Sum,45.6%,Easy,0.2476178873473176, https://leetcode.com/problems/two-sum
97,,Interleaving String,31.5%,Hard,0.2258286711759654, https://leetcode.com/problems/interleaving-string
93,,Restore IP Addresses,35.6%,Medium,0.2187426640352263, https://leetcode.com/problems/restore-ip-addresses
1048,,Longest String Chain,54.7%,Medium,0.2147013690455447, https://leetcode.com/problems/longest-string-chain
56,,Merge Intervals,39.3%,Medium,0.2010185215526144, https://leetcode.com/problems/merge-intervals
75,,Sort Colors,47.3%,Medium,0.1656671218888174, https://leetcode.com/problems/sort-colors
85,,Maximal Rectangle,37.7%,Hard,0.1522312934414547, https://leetcode.com/problems/maximal-rectangle
221,,Maximal Square,37.7%,Medium,0.1475288463816385, https://leetcode.com/problems/maximal-square
76,,Minimum Window Substring,34.6%,Hard,0.1452031277860906, https://leetcode.com/problems/minimum-window-substring
23,,Merge k Sorted Lists,40.2%,Hard,0.1364070874011957, https://leetcode.com/problems/merge-k-sorted-lists
322,,Coin Change,35.5%,Medium,0.1357246247383294, https://leetcode.com/problems/coin-change
1328,,Break a Palindrome,43.3%,Medium,0.1283811666482067, https://leetcode.com/problems/break-a-palindrome
295,,Find Median from Data Stream,44.3%,Hard,0.105021475139237, https://leetcode.com/problems/find-median-from-data-stream
706,,Design HashMap,61.3%,Easy,0.1048298709120235, https://leetcode.com/problems/design-hashmap
2,,Add Two Numbers,33.9%,Medium,0.1027036175869253, https://leetcode.com/problems/add-two-numbers
300,,Longest Increasing Subsequence,42.6%,Medium,0.1015528004432644, https://leetcode.com/problems/longest-increasing-subsequence
609,,Find Duplicate File in System,59.5%,Medium,0.0989818335488509, https://leetcode.com/problems/find-duplicate-file-in-system
733,,Flood Fill,55.3%,Easy,0.096693624802471, https://leetcode.com/problems/flood-fill
243,,Shortest Word Distance,61.0%,Easy,0.0895229619066586, https://leetcode.com/problems/shortest-word-distance
981,,Time Based Key-Value Store,53.1%,Medium,0.0862138352523445, https://leetcode.com/problems/time-based-key-value-store
47,,Permutations II,46.4%,Medium,0.0838675175977855, https://leetcode.com/problems/permutations-ii
206,,Reverse Linked List,62.5%,Easy,0.0809658089087222, https://leetcode.com/problems/reverse-linked-list
88,,Merge Sorted Array,39.4%,Easy,0.0726641464118391, https://leetcode.com/problems/merge-sorted-array
17,,Letter Combinations of a Phone Number,46.8%,Medium,0.0682058260661701, https://leetcode.com/problems/letter-combinations-of-a-phone-number
5,,Longest Palindromic Substring,29.5%,Medium,0.0667502613531191, https://leetcode.com/problems/longest-palindromic-substring
277,,Find the Celebrity,41.8%,Medium,0.0656212053584729, https://leetcode.com/problems/find-the-celebrity
116,,Populating Next Right Pointers in Each Node,45.2%,Medium,0.0641702648270202, https://leetcode.com/problems/populating-next-right-pointers-in-each-node
3,,Longest Substring Without Repeating Characters,30.4%,Medium,0.0637038016266349, https://leetcode.com/problems/longest-substring-without-repeating-characters
25,,Reverse Nodes in k-Group,42.1%,Hard,0.062178154907672, https://leetcode.com/problems/reverse-nodes-in-k-group
297,,Serialize and Deserialize Binary Tree,47.5%,Hard,0.061960627359177, https://leetcode.com/problems/serialize-and-deserialize-binary-tree
8,,String to Integer (atoi),15.4%,Medium,0.0590196151944673, https://leetcode.com/problems/string-to-integer-atoi
41,,First Missing Positive,32.0%,Hard,0.0562736359821086, https://leetcode.com/problems/first-missing-positive
426,,Convert Binary Search Tree to Sorted Doubly Linked List,59.1%,Medium,0.0536801494636237, https://leetcode.com/problems/convert-binary-search-tree-to-sorted-doubly-linked-list
829,,Consecutive Numbers Sum,37.5%,Hard,0.0534172374969858, https://leetcode.com/problems/consecutive-numbers-sum
186,,Reverse Words in a String II,43.3%,Medium,0.0506437328187549, https://leetcode.com/problems/reverse-words-in-a-string-ii
46,,Permutations,63.5%,Medium,0.050463754259193, https://leetcode.com/problems/permutations
39,,Combination Sum,56.1%,Medium,0.0503039831685079, https://leetcode.com/problems/combination-sum
269,,Alien Dictionary,33.3%,Hard,0.0499791705746588, https://leetcode.com/problems/alien-dictionary
133,,Clone Graph,34.8%,Medium,0.0498011686495274, https://leetcode.com/problems/clone-graph
238,,Product of Array Except Self,60.1%,Medium,0.047115039375105, https://leetcode.com/problems/product-of-array-except-self
698,,Partition to K Equal Sum Subsets,45.0%,Medium,0.0468591711409418, https://leetcode.com/problems/partition-to-k-equal-sum-subsets
556,,Next Greater Element III,31.7%,Medium,0.0467921615067589, https://leetcode.com/problems/next-greater-element-iii
215,,Kth Largest Element in an Array,55.4%,Medium,0.0467865756791208, https://leetcode.com/problems/kth-largest-element-in-an-array
