ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
840,,Magic Squares In Grid,37.3%,Easy,0.4449565940664958, https://leetcode.com/problems/magic-squares-in-grid
811,,Subdomain Visit Count,69.9%,Easy,0.2818511521409877, https://leetcode.com/problems/subdomain-visit-count
1189,,Maximum Number of Balloons,61.2%,Easy,0.1187457102154797, https://leetcode.com/problems/maximum-number-of-balloons
759,,Employee Free Time,66.3%,Hard,0.1014382428454883, https://leetcode.com/problems/employee-free-time
1204,,Last Person to Fit in the Elevator,69.8%,Medium,0.0851578083403068, https://leetcode.com/problems/last-person-to-fit-in-the-elevator
1212,,Team Scores in Football Tournament,55.8%,Medium,0.0786259423834273, https://leetcode.com/problems/team-scores-in-football-tournament
85,,Maximal Rectangle,37.7%,Hard,0.0285100082583777, https://leetcode.com/problems/maximal-rectangle
718,,Maximum Length of Repeated Subarray,49.4%,Medium,0.0269921920143562, https://leetcode.com/problems/maximum-length-of-repeated-subarray
56,,Merge Intervals,39.3%,Medium,0.0074386655924217, https://leetcode.com/problems/merge-intervals
412,,Fizz Buzz,62.3%,Easy,0.0068575615898703, https://leetcode.com/problems/fizz-buzz
69,,Sqrt(x),33.9%,Easy,0.0048810347059143, https://leetcode.com/problems/sqrtx
125,,Valid Palindrome,36.7%,Easy,0.0037979536727587, https://leetcode.com/problems/valid-palindrome
5,,Longest Palindromic Substring,29.5%,Medium,0.0021771085723255, https://leetcode.com/problems/longest-palindromic-substring
210,,Course Schedule II,40.7%,Medium,0.0018850146957713, https://leetcode.com/problems/course-schedule-ii
