ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
1,,Two Sum,45.6%,Easy,0.3190888534270027, https://leetcode.com/problems/two-sum
1168,,Optimize Water Distribution in a Village,60.9%,Hard,0.2422437013984835, https://leetcode.com/problems/optimize-water-distribution-in-a-village
146,,LRU Cache,33.2%,Medium,0.1653985493699643, https://leetcode.com/problems/lru-cache
384,,Shuffle an Array,52.8%,Medium,0.088553397341445, https://leetcode.com/problems/shuffle-an-array
274,,H-Index,36.1%,Medium,0.0713456206366947, https://leetcode.com/problems/h-index
49,,Group Anagrams,56.9%,Medium,0.0711450070230648, https://leetcode.com/problems/group-anagrams
205,,Isomorphic Strings,39.8%,Easy,0.0669594111319499, https://leetcode.com/problems/isomorphic-strings
95,,Unique Binary Search Trees II,40.6%,Medium,0.0630626563438651, https://leetcode.com/problems/unique-binary-search-trees-ii
46,,Permutations,63.5%,Medium,0.0619153230809797, https://leetcode.com/problems/permutations
200,,Number of Islands,46.8%,Medium,0.0545589842504343, https://leetcode.com/problems/number-of-islands
362,,Design Hit Counter,63.7%,Medium,0.0539052648362024, https://leetcode.com/problems/design-hit-counter
162,,Find Peak Element,43.3%,Medium,0.0533538887349083, https://leetcode.com/problems/find-peak-element
5,,Longest Palindromic Substring,29.5%,Medium,0.0530543973418793, https://leetcode.com/problems/longest-palindromic-substring
21,,Merge Two Sorted Lists,53.5%,Easy,0.0526021862670022, https://leetcode.com/problems/merge-two-sorted-lists
295,,Find Median from Data Stream,44.3%,Hard,0.0518788524144492, https://leetcode.com/problems/find-median-from-data-stream
416,,Partition Equal Subset Sum,43.7%,Medium,0.0507620139371122, https://leetcode.com/problems/partition-equal-subset-sum
518,,Coin Change 2,50.2%,Medium,0.0465606354939475, https://leetcode.com/problems/coin-change-2
160,,Intersection of Two Linked Lists,40.6%,Easy,0.0414614889652811, https://leetcode.com/problems/intersection-of-two-linked-lists
503,,Next Greater Element II,56.5%,Medium,0.0402919317228213, https://leetcode.com/problems/next-greater-element-ii
2,,Add Two Numbers,33.9%,Medium,0.0397240138346355, https://leetcode.com/problems/add-two-numbers
72,,Edit Distance,44.8%,Hard,0.0377492332177894, https://leetcode.com/problems/edit-distance
23,,Merge k Sorted Lists,40.2%,Hard,0.0343545235021083, https://leetcode.com/problems/merge-k-sorted-lists
238,,Product of Array Except Self,60.1%,Medium,0.0333179068916771, https://leetcode.com/problems/product-of-array-except-self
567,,Permutation in String,44.4%,Medium,0.0316482109507817, https://leetcode.com/problems/permutation-in-string
222,,Count Complete Tree Nodes,46.8%,Medium,0.0298827016000126, https://leetcode.com/problems/count-complete-tree-nodes
131,,Palindrome Partitioning,47.5%,Medium,0.0295393975139053, https://leetcode.com/problems/palindrome-partitioning
75,,Sort Colors,47.3%,Medium,0.0295390096792393, https://leetcode.com/problems/sort-colors
13,,Roman to Integer,55.7%,Easy,0.0290953124097156, https://leetcode.com/problems/roman-to-integer
316,,Remove Duplicate Letters,35.8%,Hard,0.0290718148219769, https://leetcode.com/problems/remove-duplicate-letters
206,,Reverse Linked List,62.5%,Easy,0.0270018608795245, https://leetcode.com/problems/reverse-linked-list
11,,Container With Most Water,50.8%,Medium,0.0262558839633655, https://leetcode.com/problems/container-with-most-water
273,,Integer to English Words,27.1%,Hard,0.0257672429361468, https://leetcode.com/problems/integer-to-english-words
22,,Generate Parentheses,62.7%,Medium,0.0256740328881773, https://leetcode.com/problems/generate-parentheses
605,,Can Place Flowers,31.6%,Easy,0.0235028444547827, https://leetcode.com/problems/can-place-flowers
