ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
273,,Integer to English Words,27.1%,Hard,0.3786196736711513, https://leetcode.com/problems/integer-to-english-words
146,,LRU Cache,33.2%,Medium,0.3225459261278396, https://leetcode.com/problems/lru-cache
387,,First Unique Character in a String,53.4%,Easy,0.29387200474932, https://leetcode.com/problems/first-unique-character-in-a-string
236,,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.2705098425503782, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
353,,Design Snake Game,34.2%,Medium,0.2144360950070665, https://leetcode.com/problems/design-snake-game
449,,Serialize and Deserialize BST,52.0%,Medium,0.1789589871694845, https://leetcode.com/problems/serialize-and-deserialize-bst
981,,Time Based Key-Value Store,53.1%,Medium,0.1772801345210285, https://leetcode.com/problems/time-based-key-value-store
127,,Word Ladder,29.6%,Medium,0.1603107164970192, https://leetcode.com/problems/word-ladder
739,,Daily Temperatures,63.3%,Medium,0.1426853887115567, https://leetcode.com/problems/daily-temperatures
43,,Multiply Strings,33.9%,Medium,0.1314981455990088, https://leetcode.com/problems/multiply-strings
113,,Path Sum II,46.7%,Medium,0.1091911726104806, https://leetcode.com/problems/path-sum-ii
362,,Design Hit Counter,63.7%,Medium,0.0939105994499015, https://leetcode.com/problems/design-hit-counter
139,,Word Break,40.1%,Medium,0.0734224744353928, https://leetcode.com/problems/word-break
437,,Path Sum III,47.2%,Medium,0.0702141213843106, https://leetcode.com/problems/path-sum-iii
112,,Path Sum,41.2%,Easy,0.0622502187722171, https://leetcode.com/problems/path-sum
443,,String Compression,41.3%,Easy,0.0523337200490236, https://leetcode.com/problems/string-compression
20,,Valid Parentheses,39.0%,Easy,0.0345961749712912, https://leetcode.com/problems/valid-parentheses
4,,Median of Two Sorted Arrays,29.6%,Hard,0.0329669997346001, https://leetcode.com/problems/median-of-two-sorted-arrays
1,,Two Sum,45.6%,Easy,0.0326744321843404, https://leetcode.com/problems/two-sum
53,,Maximum Subarray,46.5%,Easy,0.0251217968746353, https://leetcode.com/problems/maximum-subarray
121,,Best Time to Buy and Sell Stock,50.5%,Easy,0.0246876359928214, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
23,,Merge k Sorted Lists,40.2%,Hard,0.0239819646864854, https://leetcode.com/problems/merge-k-sorted-lists
285,,Inorder Successor in BST,40.4%,Medium,0.0212660858461784, https://leetcode.com/problems/inorder-successor-in-bst
212,,Word Search II,34.9%,Hard,0.021038644146708, https://leetcode.com/problems/word-search-ii
33,,Search in Rotated Sorted Array,34.5%,Medium,0.0192195337936351, https://leetcode.com/problems/search-in-rotated-sorted-array
268,,Missing Number,51.7%,Easy,0.0185448059153998, https://leetcode.com/problems/missing-number
151,,Reverse Words in a String,21.9%,Medium,0.0185358613012921, https://leetcode.com/problems/reverse-words-in-a-string
289,,Game of Life,54.5%,Medium,0.016625486846134, https://leetcode.com/problems/game-of-life
299,,Bulls and Cows,42.4%,Easy,0.0155041865359652, https://leetcode.com/problems/bulls-and-cows
79,,Word Search,35.6%,Medium,0.0146731795004166, https://leetcode.com/problems/word-search
150,,Evaluate Reverse Polish Notation,36.3%,Medium,0.0135549347517152, https://leetcode.com/problems/evaluate-reverse-polish-notation
3,,Longest Substring Without Repeating Characters,30.4%,Medium,0.0132882510450644, https://leetcode.com/problems/longest-substring-without-repeating-characters
13,,Roman to Integer,55.7%,Easy,0.013035869788083, https://leetcode.com/problems/roman-to-integer
695,,Max Area of Island,62.7%,Medium,0.0121323902482378, https://leetcode.com/problems/max-area-of-island
140,,Word Break II,32.6%,Hard,0.0106610817861136, https://leetcode.com/problems/word-break-ii
8,,String to Integer (atoi),15.4%,Medium,0.0081337999267701, https://leetcode.com/problems/string-to-integer-atoi
283,,Move Zeroes,57.8%,Easy,0.0027586224390797, https://leetcode.com/problems/move-zeroes
