ID,Status,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
56,,Merge Intervals,39.3%,Medium,0.1070324879394199, https://leetcode.com/problems/merge-intervals
1138,,Alphabet Board Path,48.4%,Medium,0.0663585361185967, https://leetcode.com/problems/alphabet-board-path
242,,Valid Anagram,56.9%,Easy,0.0256845842977735, https://leetcode.com/problems/valid-anagram
10,,Regular Expression Matching,26.8%,Hard,0.0160976468428474, https://leetcode.com/problems/regular-expression-matching
200,,Number of Islands,46.8%,Medium,0.0115092624205908, https://leetcode.com/problems/number-of-islands
387,,First Unique Character in a String,53.4%,Easy,0.0093926801990541, https://leetcode.com/problems/first-unique-character-in-a-string
4,,Median of Two Sorted Arrays,29.6%,Hard,0.0087540681599149, https://leetcode.com/problems/median-of-two-sorted-arrays
49,,Group Anagrams,56.9%,Medium,0.0085389513142321, https://leetcode.com/problems/group-anagrams
33,,Search in Rotated Sorted Array,34.5%,Medium,0.0072528321803903, https://leetcode.com/problems/search-in-rotated-sorted-array
70,,Climbing Stairs,47.8%,Easy,0.0060202612502156, https://leetcode.com/problems/climbing-stairs
